"Objectobject","MSHTML","Gecko","WebKit","Presto","Blink"
"Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction"
"Object([value])","Yes","Yes","Yes","Yes","Yes"
"Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor"
"newObject([value])","4.0","Yes","Yes","Yes","Yes"
"Properties","Properties","Properties","Properties","Properties","Properties"
"prototype","4.0","Yes","Yes","Yes","Yes"
"Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype"
"constructor","4.0","Yes","Yes","Yes","Yes"
"toString()","4.0","Yes","Yes","Yes","Yes"
"toLocaleString()","4.0","Yes","Yes","Yes","Yes"
"valueOf()","4.0","Yes","Yes","Yes","Yes"
"hasOwnProperty(V)","5.5","Yes","3","Yes","Yes"
"isPrototypeOf(V)","5.5","Yes","3","Yes","Yes"
"propertyIsEnumerable(V)","5.5","Yes","3","Yes","Yes"
