"Grammar","Danish","Bokmål","Nynorsk","Swedish","Meaning"
"Nouns:singularandplural","gade–gader","gate–gater","gata–gater","gata–gator","street–streets"
"Nouns:singularandplural","dag–dage","dag–dager","dag–dagar","dag–dagar","day–days"
"Nouns:singularandplural","soldat–soldater","soldat–soldater","soldat–soldatar","soldat–soldater","soldier–soldiers"
"Nouns:singularandplural","hus–huse","hus–hus","hus–hus","hus–hus","house–houses"
"Nouns:definitepluralform","dagene","dagene","dagane","dagarna","thedays"
"Adjectives:definiteform","store","store","store","stora(store)","thebig"
"Adjectives:degreesofcomparison","stærkere–stærkest","sterkere–sterkest","sterkare–sterkast","starkare–starkast","stronger–thestrongest"
"Verbs:infinitive","kaste","kaste","kaste/kasta","kasta","tothrow"
