"Parser","License","Implementationlanguage(s)","Latestdate*","HTMLparsing","HTML5-compliantparsing","CleanHTML**","UpdateHTML***"
"HTMLTidy","W3Clicense","ANSIC","2021-03-24","Yes","Yes","Yes","Yes"
"HtmlUnit","ApacheLicense2.0","Java","2021-05-16","Yes","?","No","No"
"BeautifulSoup","MITLicense","Python","2021-12-08","Yes","Yes","?","No"
"HtmlUnit","ApacheLicense2.0","Java","2021-05-16","Yes","?","No","No"
"Parser","License","Implementationlanguage(s)","Latestdate*","HTMLParsing","HTML5-compliantParsing","CleanHTML**","UpdateHTML***"
