"Filemanager","SMB/CIFS","WebDAV","NFS","AFP","FTP","FISH/SSH"
"AltapSalamander","Yes","No","Yes","No","Yes","Yes"
"CommanderOne","Yes","Yes","Yes","Yes","Yes","Yes"
"DirectoryOpus","Yes","Yes","Yes","No","Yes","Yes(SFTP&SSL)"
"Dired","Yes","Yes","Yes","No","Yes","Yes"
"Dolphin","Yes","Yes","Yes","?","Yes","Yes"
"DoubleCommander","Yes","?","?","?","Yes","?"
"emelFM2","?","?","?","?","No","?"
"FarManager","Yes","Partial","Partial","No","Yes","Yes"
"FileCommander","Yes","Partial","Partial","No","Partial","Partial"
"FileManager","?","?","?","?","?","?"
"Files(Apple)","","","","","",""
"FilesbyGoogle","","","","","",""
"Finder","Yes","Yes","Yes","Yes","Partial","No"
"ForkLift","Yes","Yes","Yes","Yes","Yes","Yes"
"GNOMECommander","Yes","Yes","Yes","No","Yes","Yes"
"Konqueror","Yes","Yes","Yes","Yes","Yes","Yes"
"Krusader","Yes","Yes","Yes","No","Yes","Yes"
"muCommander","Yes","?","Yes","?","Yes","Yes"
"MidnightCommander","Yes","No","Yes","No","Yes","Yes"
"GNOMEFiles(Nautilus)","Yes","Yes","Yes","Yes","Yes","Yes"
"Nemo","Yes","?","?","?","Yes","Yes"
"Nomad.NET","Yes","No","No","No","Yes","No"
"PathFinder","Yes","Yes","Yes","Yes","Yes(ReadAccess)","No"
"PCManFM","Yes","?","?","?","?","?"
"ROX-Filer","Yes","Yes","Yes","Yes","Yes","Yes"
"TotalCommander","Yes","Yes","Partial","No","Yes","Yes"
"Thunar","Yes","Yes","Yes","No","Yes","Yes"
"WindowsExplorer","Yes","Yes","Yes","No","Yes","No"
"XandrosFileManager","?","?","?","?","?","?"
"Xfe","?","?","?","?","?","?"
"Xfm","?","?","?","?","?","?"
"xplorer²","Yes","Yes","Partial","No","Yes","No"
"XYplorer","Yes","Yes","Yes","No","Yes","No"
"ZTreeWin","Yes","Partial","Partial","No","Partial","Partial"
"Filemanager","SMB/CIFS","WebDAV","NFS","AFP","FTP","FISH/SSH"
