"Model:MobilityRadeon","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","APIcompliance(version)","Memory","Memory","Fillrate","Memory","APIcompliance(version)","Processingpower(GFLOPS)","TDP(Watts)"
"Model:MobilityRadeon","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Processingpower(GFLOPS)","TDP(Watts)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"MobilityRadeonHD530v","May5,2010","M92","RV710","55","PCIex162.0","500","600","80:8:4","2","4","1024","9.6","DDR2DDR3GDDR3","64","10.1","3.3","80","10"
"MobilityRadeonHD545v","May5,2010","M92","RV710","55","PCIex162.0","720","400800","80:8:4","2.88","5.76","5121024","6.412.8","DDR2DDR3GDDR3","64","10.1","3.3","115.2","15"
"MobilityRadeonHD550v","May5,2010","M96","RV730","55","PCIex162.0","450","600","320:32:8","3.6","14.4","1024","19.2","DDR2DDR3GDDR3","128","10.1","3.3","288","10"
"MobilityRadeonHD560v","M96","RV730","May5,2010","550","320:32:8","800","55","1024","PCIex162.0","128","4.4","17.6","25.6","352","15","DDR2DDR3GDDR3","10.1","3.3"
"MobilityRadeonHD565v","May5,2010","800","RV730","M96-XT","675","320:32:8","55","PCIex162.0","1024","5.4","128","21.6","25.6","432","20","DDR2DDR3GDDR3","10.1","3.3"
"MobilityRadeonHD5145","January7,2010","M92","RV710","55","PCIex162.0","720","900","1024","80:8:4","2.88","5.76","14.4","DDR3GDDR3","64","115.2","10.1","3.3","15"
"MobilityRadeonHD5165","January7,2010","M96","RV730","600","900","55","PCIex162.0","320:32:8","4.8","DDR3GDDR3","1024","19.2","28.8","128","384","35","10.1","3.3"
"MobilityRadeonHD5430","January7,2010","ParkLP","Cedar(RV810)","40","PCIex162.1","500550","800","80:8:4","1024","DDR3GDDR3","2.02.2","4.04.4","12.8","64","11","4.4","8088","7"
"MobilityRadeonHD5450","January7,2010","Cedar(RV810)","40","PCIex162.1","ParkPRO","800","80:8:4","675","2.7","12.8","64","11","4.4","5.4","108","11","1024","DDR3GDDR3"
"MobilityRadeonHD5470","January7,2010","Cedar(RV810)","40","PCIex162.1","ParkXT","800","80:8:4","750","3","6","64","11","4.4","1024512","12.825.6","DDR3GDDR3GDDR5","120","1315"
"MobilityRadeonHD5650","January7,2010","MadisonPRO","40","PCIex162.1","Redwood(RV830)","800","450650","400:20:8","3.65.2","9.013.0","1024","11","4.4","25.6","DDR3GDDR3","128","360520","1519"
"MobilityRadeonHD5730","January7,2010","Redwood(RV830)","MadisonLP","400:20:8","40","PCIex162.1","1024","25.6","DDR3GDDR3","128","650","800","5.2","13","520","26","11","4.4"
"MobilityRadeonHD5750","January7,2010","Redwood(RV830)","MadisonPRO","400:20:8","40","PCIex162.1","1024","550","800","128","4.4","11","51.2","GDDR5","440","11","4.4","25"
"MobilityRadeonHD5770","January7,2010","Redwood(RV830)","MadisonXT","400:20:8","51.2","GDDR5","40","PCIex162.0/2.1","1024","650","800","128","5.2","13","520","30","11","4.4"
"MobilityRadeonHD5830","January7,2010","BroadwayLP","40","Juniper(RV840)","PCIex162.1","800","1024","500","800:40:16","128","8","20","25.6","11","4.4","DDR3GDDR3","800","24"
"MobilityRadeonHD5850","January7,2010","Juniper(RV840)","PCIex162.1","BroadwayPRO","40","625500625","9001000","800:40:16","DDR3GDDR3","10810","252025","20481024","128","28.86464","10008001000","11","4.4","313039"
"MobilityRadeonHD5870","January7,2010","Juniper(RV840)","PCIex162.1","800:40:16","BroadwayXT","40","700","1000","11.2","28","1024","64","128","GDDR5","1120","11","4.4","50"
"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL","Processingpower(GFLOPS)","TDP(Watts)"
"Fillrate","Memory","APIcompliance(version)","Memory","Memory","Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","APIcompliance(version)","Processingpower(GFLOPS)","TDP(Watts)"
