"Format","Languages"
"LCase(string)","VB"
"lcase(string)","FreeBASIC"
"lc(string)","Perl,Raku"
"string.lc","Raku"
"tolower(char)","C"
"std.string.toLower(string)","D"
"transform(string.begin(),string.end(),result.begin(),::tolower)","C++"
"lowercase(string)","ObjectPascal(Delphi)"
"strtolower(string)","PHP"
"lower(string)","Seed7"
"echo""string""|tr'A-Z''a-z'","Unix"
"string.lower()","Python"
"downcase(string)","PickBasic"
"string.downcase","Ruby"
"strings.ToLower(string)","Go"
"(string-downcasestring)","Scheme(R6RS),CommonLisp"
"(lower-casestring)","Clojure"
"String.lowercasestring","OCaml"
"String.mapChar.toLowerstring","StandardML"
"mapChar.toLowerstring","Haskell"
"string.toLowerCase()","Java,JavaScript"
"to_lower(string)","Erlang"
"string.ToLower()","VB.NET,C#,WindowsPowerShell,F#"
"string.lowercaseString","Objective-C(NSString*only),Swift(Foundation)"
"string.lower(string)(string):lower()","Lua"
"stringasLowercase","Smalltalk"
"LOWER(string)","SQL"
"lowercase(string)","PL/I"
"ToLowerCase[string]","Mathematica"
"«FUNCTION»LOWER-CASE(string)","COBOL"
"string.toLower","Cobra"
"stringtolowerstring","Tcl"
"string.to_lowercase()","Rust"
