"","8bit(byte)","16bit(shortinteger)","32bit","64bit(longinteger)","Wordsize","8bit(byte)","16bit(shortinteger)","32bit","64bit(longinteger)","Wordsize","Arbitrarilyprecise(bignum)"
"","Signed","Unsigned","Signed","Unsigned","Signed","Arbitrarilyprecise(bignum)","Unsigned","Signed","Unsigned","Signed","Unsigned"
"Ada","range-2**7..2**7-1","range0..2**8-1ormod2**8","range-2**15..2**15-1","range0..2**16-1ormod2**16","range-2**31..2**31-1","range0..2**32-1ormod2**32","range-2**63..2**63-1","mod2**64","Integer","range0..2**Integer'Size-1ormodInteger'Size","N/A"
"ALGOL68(variable-width)","shortshortint","N/A","shortint","N/A","int","N/A","longint","N/A","int","N/A","longlongint"
"bytes&bits","ALGOL68(variable-width)","shortshortint","N/A","shortint","N/A","int","N/A","longint","N/A","bytes&bits","longlongint"
"C(C99fixed-width)","int8_t","uint8_t","int16_t","uint16_t","int32_t","uint32_t","int64_t","uint64_t","intptr_t","size_t","N/A"
"C++(C++11fixed-width)","int8_t","uint8_t","int16_t","uint16_t","int32_t","uint32_t","int64_t","uint64_t","intptr_t","size_t","N/A"
"C(C99variable-width)","signedchar","unsignedchar","short","unsignedshort","long","unsignedlong","longlong","unsignedlonglong","int","unsignedint","N/A"
"C++(C++11variable-width)","signedchar","unsignedchar","short","unsignedshort","long","unsignedlong","longlong","unsignedlonglong","int","unsignedint","N/A"
"Objective-C(Cocoa)","signedcharorint8_t","unsignedcharoruint8_t","shortorint16_t","unsignedshortoruint16_t","intorint32_t","unsignedintoruint32_t","longlongorint64_t","unsignedlonglongoruint64_t","NSIntegerorlong","NSUIntegerorunsignedlong","N/A"
"C#","sbyte","byte","short","ushort","int","uint","long","ulong","IntPtr","UIntPtr","System.Numerics.BigInteger(.NET4.0)"
"Java","byte","N/A","short","char","int","N/A","long","N/A","N/A","N/A","java.math.BigInteger"
"Go","int8","uint8orbyte","int16","uint16","int32","uint32","int64","uint64","int","uint","big.Int"
"Rust","i8","u8","i16","u16","i32","u32","i64","u64","isize","usize","N/A"
"Swift","Int8","UInt8","Int16","UInt16","Int32","UInt32","Int64","UInt64","Int","UInt"
"D","byte","ubyte","short","ushort","int","uint","long","ulong","N/A","N/A","BigInt"
"CommonLisp","(signed-byte8)","(unsigned-byte8)","(signed-byte16)","(unsigned-byte16)","(signed-byte32)","(unsigned-byte32)","(signed-byte64)","(unsigned-byte64)","","","bignum"
"Scheme","","","","","","","","","","",""
"ISLISP","","","","","","","","","","","bignum"
"Pascal(FPC)","shortint","byte","smallint","word","longint","longword","int64","qword","integer","cardinal","N/A"
"VisualBasic","N/A","Byte","Integer","N/A","Long","N/A","N/A","N/A","N/A","N/A","N/A"
"VisualBasic.NET","SByte","Byte","Short","UShort","Integer","UInteger","Long","N/A","ULong","System.Numerics.BigInteger(.NET4.0)"
"FreeBasic","ByteorInteger<8>","UByteorUInteger<8>","ShortorInteger<16>","UShortorUInteger<16>","LongorInteger<32>","ULongorUInteger<32>","LongIntorInteger<64>","ULongIntorUInteger<64>","Integer","UInteger","N/A"
"Python2.x","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","int","N/A","long"
"Python3.x","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","int"
"S-Lang","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fortran","INTEGER(KIND=n)","N/A","INTEGER(KIND=n)","N/A","INTEGER(KIND=n)","N/A","INTEGER(KIND=n)","N/A","","",""
"PHP","N/A","N/A","N/A","N/A","int","N/A","N/A","int","N/A","N/A",""
"Perl5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Math::BigInt"
"Raku","int8","uint8","int16","uint16","int32","uint32","int64","uint64","Int","N/A","N/A"
"Ruby","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Fixnum","N/A","Bignum"
"Erlang","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","integer()","N/A","integer()"
"Scala","Byte","N/A","Short","Char","Int","N/A","Long","N/A","N/A","N/A","scala.math.BigInt"
"Seed7","N/A","N/A","N/A","N/A","N/A","N/A","integer","N/A","N/A","N/A","bigInteger"
"Smalltalk","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","SmallInteger","N/A","LargeInteger"
"WindowsPowerShell","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"OCaml","N/A","N/A","N/A","N/A","int32","N/A","int64","N/A","intornativeint","","openBig_int;;big_int"
"F#","sbyte","byte","int16","uint16","int64","int32orint","uint32","uint64","nativeint","unativeint","bigint"
"StandardML","N/A","Word8.word","N/A","N/A","Int32.int","Word32.word","Int64.int","Word64.word","int","word","LargeInt.intorIntInf.int"
"Haskell(GHC)","«importInt»Int8","«importWord»Word8","«importInt»Int16","«importWord»Word16","«importInt»Int32","«importWord»Word32","«importInt»Int64","«importWord»Word64","Int","«importWord»Word","Integer"
"Eiffel","INTEGER_8","NATURAL_8","INTEGER_16","NATURAL_16","INTEGER_32","NATURAL_32","INTEGER_64","NATURAL_64","INTEGER","NATURAL","N/A"
"COBOL","BINARY-CHAR«SIGNED»","BINARY-CHARUNSIGNED","BINARY-SHORT«SIGNED»","BINARY-SHORTUNSIGNED","BINARY-LONG«SIGNED»","BINARY-LONGUNSIGNED","BINARY-DOUBLE«SIGNED»","BINARY-DOUBLEUNSIGNED","N/A","N/A","N/A"
"Mathematica","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Integer"
"WolframLanguage","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Integer"
