"","Flat","Threaded","Userselectablethemes","Unreadmessagetracking","WYSIWYGEditor","Export,portability","Email/NNTPinterface","Languages","SSO"
"bbPress","Yes","","","","","No","Plugin","Yes",""
"BeehiveForum","Yes","Yes","Partial","Full","Yes(usingTinyMCE)","Partial","","",""
"Discourse","Yes","No","Yes","Full","Real-timeside-by-sidepreview","Full","Partial","Yes","OAuth2,Custom"
"Discuz!","","","Yes","","","","","",""
"FluxBB","Yes","No","Partial","Session","No","","","Yes",""
"FUDforum","Yes","Yes","Yes","Full","Yes","Partial","Yes","Yes",""
"InvisionPowerBoard","Yes","","Yes","Full","Yes","","No","","No"
"MyBB","Yes","Yes","Yes","Full","Yes","No","No","Yes",""
"Phorum","Yes","Yes","Yes","Full","Yes","Plugin","","No",""
"phpBB","Yes","No","Yes","Full","No","No","No","Yes","Yes(LDAP,OAuth)"
"PunBB","Yes","","Yes","Session","","","","No",""
"SimpleMachinesForum","Yes","No","Yes","Full","Yes","Partial","No","Yes",""
"Thredded","Yes","No","Yes","Full","No","No","Read-only","Yes","Custom"
"VanillaForums","Yes","","Yes","Yes","Plugin","Plugin","","Yes","Yes"
"vBulletin","Yes","No","Yes","Full","Yes","Plugin","","No",""
"XenForo","Yes","Yes","Yes","Full","Yes","Yes","","Yes","Yes"
