"JVM","Windows","Linux","FreeBSD","NetBSD","OpenBSD","Solaris","OpenSolaris","Darwin","macOS","iOS","BeOS","Haiku","AIX","IRIX","OS/2","WindowsMobile","AmigaOS","Other"
"GCJ","Yes","Yes","Yes","?","?","Yes","?","Yes","Yes","?","?","?","?","Yes","?","No","No","DECOSF4.0fand5.1,HitachiSH-3/4micro-controller"
"HotSpot,OpenJDKedition","Yes(distributedassourcecode)","Yes","Port","Port","Port","Yes","Yes","?","Yes","No","No","Port","Port","No","Port","No","No",""
"HotSpot,OracleJDKedition","Yes","Yes","No","No","No","Yes","?","?","Yes","No","No","No","No","No","No","No","No",""
"HotSpot,JavaSEembeddededition","Yes","Yes","No","No","No","Yes","?","No","No","No","No","No","No","No","No","No","No",""
"HotSpot,Zeroport","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"IKVM.NET","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework","Anyoperatingsystemwitha.NETframework"
"JAmiga","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",""
"JamVM","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","OnJailbrokeniPhone","No","No","No","No","No","No","No","kFreeBSD"
"JatoVM","No","Yes","No","No","No","No","No","Underdevelopment","?","No","No","No","No","No","No","No","No",""
"JCvirtualmachine","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"JikesRVM","No","Yes","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No",""
"Kaffe","UsingCygwin","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Manyothers"
"MysaifuJVM","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"SableVM","UsingCygwin","Yes","Yes","?","?","?","?","?","Yes","?","?","?","?","?","?","?","?",""
