"Kernel","AcornADFS","AmigaFFS","APFS","BeFS","BFS","cramfs","EFS","ext2","ext3","ext4","F2FS","FAT","FreeVxFS","HFS","HFS+","HPFS","ISO9660","JFFS","JFFS2","JFS","MINIXfs","NSS","NTFS","OCFS","QNX4FS","SystemVFS","UDF","UFS","XFS","ZFS","ReiserFS","Reiser4","Btrfs","HAMMER","Tux3","exFAT","ReFS"
"DragonFlyBSDkernel","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","limitedwrite","No","No","No","readonly","Yes","No","No","No","No","No","Yes","No","No","No"
"FreeBSDkernel","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","limitedwrite","No","No","No","Yes","Yes","readonly","Yes","readonly","No","No","No","No","?","No"
"Linuxkernel","Yes","Yes","No","readonly","Yes","Yes","readonly","Yes","Yes","Yes","Yes","Yes","readonly","Yes","limitedwrite(onlywithemptyjournal)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes(FullR/Wwithadditionaluserspacedriver)","Yes","Yes","writesupport?","Yes","Yes","Yes","bothFUSEandnative","Yes","Yes","Yes","No","Yes","Yes","No"
"MINIX3kernel","No","No","No","No","No","No","No","Yes","No","No","No","Toolsavailable,cannotmount","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"NetWarekernel","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","?","No"
"ReactOSkernel","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Readonly","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No"
"Solariskernel","?","?","No","?","?","?","?","Yes","?","?","?","Yes","?","?","?","?","Yes","?","?","?","?","No","No","?","?","?","Yes","Yes","?","Yes","No","No","No","No","No","?","No"
"WindowsNTkernel","?","?","No","?","?","?","?","Yes","Yes","Yes","No","Yes","?","Yes","Yes","No","Yes","?","?","?","?","No","Yes","?","?","?","Yes","?","?","No","No","No","Yes","No","No","Yes","Yes"
"XNU","No","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Read-Only","No","No","No","Yes","Yes","No","readonly","No","No","No","No","No","Yes","No"
