"Model","Memoryslots","MemoryMax","User-replaceableHDD/SSD?","HDD/SSDbays","Expansionslots"
"MacMini","No","16GB","No","1","No"
"iMac24in","No","16GB","No","1","No"
"MacStudio","No","128GB","No","None","No"
"MacPro","12","1.5TB","28","",""
"MacBookAir","No","16GB","No","None","No"
"MacBookPro13""","No","16GB","No","None","No"
"MacBookPro14""","No","64GB","No","None","No"
"MacBookPro16""","No","64GB","No","None","No"
