"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Min(MHz)","Average(MHz)","Memory(MT/s)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Notes","Texture(GT/s)","Size(GB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL","OpenCL"
"GeForce920M","March12,2015","GK208","28","PCIe3.0x16","384:32:8(2SMX)","954","Unknown","1800","7.6","30.5","2","14.4","DDR3","64","12(11_0)","4.6","1.2","733","33",""
"GeForce930M","March12,2015","GM108","28","PCIe3.0x16","384:24:8(3SMM)","928","941","1800","7.4","22.3","2","14.4","DDR3","64","12(11_0)","4.6","1.2","713","29",""
"GeForce940M","GM108","384:24:8(3SMM)","March12,2015","1072","28","PCIe3.0x16","1176","2000","8.6","25.7","16","823","2","36","DDR3","64","12(11_0)","4.6","1.2",""
"GeForce940MX","GM108","384:24:8(3SMM)","2000","January,2016","1004","16","28","PCIe3.0x16","1242","9.9","29.8","954","23","2","DDR3","64","12(11_0)","4.6","1.2",""
"GeForce940MX","June28,2016","GM107","512:32:8(4SMM)","28","PCIe3.0x16","795","23","861","5000","6.9","27.6","40","2","GDDR5","882","64","12(11_0)","4.6","1.2",""
"GeForceGTX950M","GM107","March12,2015","640:40:16(5SMM)","28","5000","PCIe3.0x16","914","Unknown","GDDR5","14.6","36.6","2,4","80","128","1170","Unknown","SimilarcoreconfigtoGTX750Ti(GM107-400-A2)","12(11_0)","4.6","1.2"
"GeForceGTX950M","March12,2015","640:40:16(5SMM)","914","Unknown","14.6","36.6","2,4","2000","128","1170","GM107","SimilarcoreconfigtoGTX750Ti(GM107-400-A2)","32","DDR3","28","PCIe3.0x16","55","12(11_0)","4.6","1.2"
"GeForceGTX960M","March12,2015","640:40:16(5SMM)","GM107","1097","1176","28","2,4","PCIe3.0x16","128","5000","17.5","SimilarcoreconfigtoGTX750Ti(GM107-400-A2)","43.8","80","GDDR5","1403","65","12(11_0)","4.6","1.2"
"GeForceGTX965M","January5,2015","GM204","5000","28","PCIe3.0x16","80","GDDR5","1024:64:32(8SMM)","944","2,4","Unknown","128","30.2","60.4","12(12_1)","1933","60","SimilarcoreconfigtoGTX960(GM206-300)","4.6","1.2"
"GeForceGTX970M","October7,2014","GM204","1280:80:48(10SMM)","944","5000","28","PCIe3.0x16","12(12_1)","993","GDDR5","44.4","73.9","3,6","120","192","2365","75","SimilarcoreconfigtoGTX960OEM(GM204)","4.6","1.2"
"GeForceGTX980M","October7,2014","1536:96:64(12SMM)","GM204","1038","5000","28","PCIe3.0x16","1127","12(12_1)","GDDR5","66.4","99.6","4,8","160","256","3189","100","SimilarcoreconfigtoGTX970(GM204-200)withoneSMMdisabled","4.6","1.2"
"GeForceGTX980","September22,2015","GM204","2048:128:64(16SMM)","28","PCIe3.0x16","1064","Unknown","256","12(12_1)","GDDR5","7010","68.1","136.2","8","224","4358","165,octo200","SimilartoDesktopGTX980","4.6","1.2"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Min(MHz)","Average(MHz)","Memory(MT/s)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Notes","Texture(GT/s)","Size(GB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL","OpenCL"
