"Product","Localbooks","Bookfilesearch","Epubdownloading","Browserdownloading","OPDScatalog","Bookstag","Bookssort","Booksmanagemetadata"
"AldikoBookReader","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"AlReader","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes"
"Bookari","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"CoolReader","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes"
"EBookDroid","Yes","?","?","?","Yes","?","?","?"
"EbookReader","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"eReaderPrestigio","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"FBReader","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"iReader","?","?","?","?","?","?","?","?"
"Kindle","?","?","?","?","?","?","?","?"
"KoboBooks","?","?","?","?","?","?","?","?"
"KOReader","Yes","?","No","No","Yes","?","?","?"
"LektzeBookReader","Yes","Yes","Yes","?","?","?","?","?"
"Librera","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Moon+reader","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"MReader","Yes","Yes","Yes","Yes","No","No","No","No"
"PocketBook","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"SocioeReader","Yes","Yes","Yes","No","No","No","Yes","No"
"Product","Localbooks","Bookfilesearch","Epubdownloading","Browserdownloading","OPDScatalog","Bookstag","Bookssort","Booksmanagemetadata"
