"Feature","Android","iOS","Tizen","SailfishOS","UbuntuTouch"
"Camerafocusatspecifiedpoint","2.3+","Yes","?","1.0.4+","Yes"
"Cameraexposuremeteringfromspecifiedpoint","No,availableonsomephones.","Yes","No","?","No"
"Ondevicepictureinfo(includingExifdata)","Onlydateandlocation;morewith3rdpartysoftware","Onlydateandlocation;morewith3rdpartysoftware","No","?","Yes"
"Ondevicepicturecategorization","No3rdpartysoftwarelikeTouchWiz","5+","No","?","No"
"Ondevicepicturedescriptionandsearch","No","10+:Items/objectsinpicture;7+:Onlydateandlocation","No","?","No"
"Turnoffshuttersound","Insilentmode","Insilentmode","Insilentmode","Insilentmode","No"
"Picturecrop","Yes","5+","No","Yes","Yes"
"Photorotation","Yes","5+","No","Yes","Yes"
"Photored-eyereduction","2.3+","5+","No","No","No"
"HDRphotosoption","4.2+,somemanufacturersearlier","Yes","No","No","Yes"
"Photo/videoimportfrommemorycards","Yes","WithCameraConnectionKit","Yes","Yes","Yes"
"Videotrim","2.3+","Yes","No","?","No"
