"Country","Resolution","Satellite","Yearlaunched"
"India","0.35meter","RISAT-2BR1","2019"
"India","0.5meterx0.3meter","RISAT-2B","2019"
"Israel","0.5meter","TecSAR","2008"
"China","0.3meter","Yaogan30","2018"
"Japan","0.5meter","IGSR-5","2017"
"SouthKorea","1meter","KOMPSat-5","2013"
