"","Creator","Lateststableversion","Releasedate","Softwarelicense","Opensource","Programminglanguage","Pluginsupport","RunsonmacOSCatalina"
"Alfred","RunningwithCrayons","4.5.1","August9,2021","Proprietary","No","Objective-C","Yes","Yes"
"Butler","PeterMaurer","4.3.2","April9,2019","Proprietary","No","Objective-C","Yes","Yes"
"DragThing","JamesThomson","5.9.11","November16,2016","Proprietary","No","C++","Yes","No"
"LaunchBar","ObjectiveDevelopment","6.10","April24,2019","Proprietary","No","Objective-C","Yes","Yes"
"Quicksilver","BlacktreeSoftware","1.3.4","March12,2018","ApacheLicense","Yes","Objective-C","Yes","Yes"
"Raycast","Raycast","1.26.0","November30,2021","Proprietary","No","(unknown)","Yes","Yes"
