"Tool","Supporteddatamodels(conceptual,logical,physical)","Supportednotations","Forwardengineering","Reverseengineering","Model/databasecomparisonandsynchronization","Teamwork/repository"
"DatabaseWorkbench","Conceptual,logical,physical","IE(Crowsfeet)","Yes","Yes","Updatedatabaseand/orupdatemodel","No"
"EnterpriseArchitect","Conceptual,Logical&Physical+MDATransformofLogicaltoPhysical","IDEF1X,UMLDDL,InformationEngineering&ERD","Yes","Yes","Updatedatabaseand/orupdatemodel","Multi-usercollaborationusingFile,DBMSorCloudRepository(ortransferviaXMI,CVS/TFSorDifferenceMerge)."
"ER/Studio","Logical,physical,ETL","IDEF1X,IE(Crowsfeet)","Yes","Yes","Updatedatabaseand/orupdatemodel","ER/StudioRepositoryandTeamServer(formerlyPortal/CONNECT)forwebbasedpublishingcollaborationandmodelmanagement,withBusinessGlossaryasstandard."
"MagicDraw","Conceptual,Logical&Physical+MDATransformofLogicaltoPhysical","IDEF1X,UMLDDL,InformationEngineering&ERD","Yes","Yes","Updatedatabaseand/orupdatemodel","Multi-usercollaborationusingFile,DBMSor(transferviaXMI,CVS/TFSorDifferenceMerge)."
"MySQLWorkbench","Physical","IDEF1X,IE(Crowsfeet),UML,andmore","Yes","Yes","Updatedatabaseand/orupdatemodel","No"
"NavicatDataModeler","Conceptual,Logical&Physical","IE(Crowsfeet)","Yes","Yes","Updatedatabaseand/orupdatemodel","No"
"NORMAObject-Rolemodeling","Conceptual(ORM),Logical,Physical","ORM,Relational(Crowsfeetoption),Barker","Yes","Yes","Updatedatabaseand/orupdatemodel","No"
"OpenModelSphere","Conceptual,Logical,physical","IDEF1X,IE(Crowsfeet),andmore","Yes","Yes","Updatedatabaseand/orupdatemodel","No"
"OracleSQLDeveloperDataModeler","Logical,physical","Barker,IE(Crowsfeet),andBachman","Yes","Yes","Updatedatabaseand/orupdatemodel","Yes"
"PowerDesigner","Conceptual,logical,physical","IDEF1X,IE(Crowsfeet),andmore","Yes","Yes","Updatedatabaseand/orupdatemodel","Yes"
"SoftwareIdeasModeler","Conceptual,logical,physical","IDEF1X,IE(Crowsfeet),UMLandmore","Yes","Yes","Updatedatabaseand/orupdatemodel","Yes"
"ToadDataModeler","Logical,physical","IDEF1X,IE(Crowsfeet),andmore","Yes","Yes","Updatedatabaseand/orupdatemodel","Yes"
