"","Firstpublicrelease","Firststablerelease","Firstpublicrelease","Firststablerelease","Lateststablerelease"
"Client","Date","Version","Lateststablerelease","Date","Version"
"AdiIRC","2005","1.0","","","3.5(June30,2019;2yearsago(2019-06-30))[±]"
"Bersirc","1999","","","","2.2.14(12August2005;16yearsago(2005-08-12))[±]"
"BitchX","1996","","","","1.2.1(November14,2014;7yearsago(2014-11-14))[±]"
"ChatZilla","2001","","","","0.9.93(November8,2016;5yearsago(2016-11-08))[±]"
"Colloquy","2005","","","","2.4.3(6011)(March22,2014;7yearsago(2014-03-22))[±]"
"degesch","2015","0.9","2015","0.9",""
"DMDirc","2007","","","","0.7(January5,2013;9yearsago(2013-01-05))[±]"
"ERC","1999?","","","","ERCimprovementsarenowreleasedaspartofEmacs.[±]"
"F-IRC","2006?","0.1","","","1.36(February23,2014)"
"HexChat","2009-10-04","r249","2009-10-09","2.86.0","2.14.3(December20,2019;2yearsago(2019-12-20))[±]"
"HydraIRC","2002","","","","0.3.165(December12,2008;13yearsago(2008-12-12))[±]"
"IceChat","2002","3.0","2002-04-08","3.0","9.53(February4,2022;26daysago(2022-02-04))[±]"
"ircII","1990","","","","20190117(January17,2019;3yearsago(2019-01-17))[±]"
"IRCjr","2008","","2008","","mTCP_2020-03-07(March7,2020;23monthsago(2020-03-07))[±]"
"Ircle","1995","","","","3.5a6(November17,2007;14yearsago(2007-11-17))[±]"
"Irssi","1999","","","","1.2.3(April11,2021;10monthsago(2021-04-11))[±]"
"jIRCii","?","?","","","?"
"kirc","2020","0.0.1","","",""
"KVIrc","1998","0.6.0","1999-12-21","1.0.0","5.0.0(January1,2019;3yearsago(2019-01-01))[±]"
"Konversation","2002","","","","21.12.13January2022;58daysago(3January2022)"
"LeafChat","?","1.0","","","2.5(July29,2012;9yearsago(2012-07-29))[±]"
"LimeChat","2007","","","","Mavericks/MountainLion2.43(January26,2018;4yearsago(2018-01-26))[±]Lion2.38(September12,2013;8yearsago(2013-09-12))[±]"
"Linkinus","2007","","","","2.4.3(August23,2011;10yearsago(2011-08-23))[±]"
"Mibbit","2008","","","","webapplication,noversion"
"mIRC","1995","","","","7.67(2October2021;5monthsago(2021-10-02))[±]"
"Nettalk","2004","","","","6.7.16(October30,2012;9yearsago(2012-10-30))[±]"
"PIRCH","1995","","","","1.0.1.1190(January1,2001;21yearsago(2001-01-01))[±]"
"PJIRC","2002","","","","2.2.1(November29,2004;17yearsago(2004-11-29))[±]"
"Quassel","2008-08-27","0.3.0","","","0.14.0(January1,2022;60daysago(2022-01-01))[±]"
"qwebirc","2009","0.81","","","0.92(February13,2012;10yearsago(2012-02-13))[±]"
"rIRC","2010","PreviewRelease1","2012","1.44","1.4.4(January16,2012)"
"Scrollback","2013","","2013","",""
"rcirc","?","?","","","rcircimprovementsarenowreleasedaspartofEmacs.[±]"
"Smuxi","2008-07-29","0.6","2010-09-03","0.8","1.1(February12,2021;12monthsago(2021-02-12))[±]"
"Snak","1997","","","","5.3.4(March11,2012;9yearsago(2012-03-11))[±]"
"VisualIRC","1995","","","","2.0pl2(December30,2007;14yearsago(2007-12-30))[±]"
"WeeChat","2003","","","","3.4(December18,2021;2monthsago(2021-12-18))[±]"
"Client","Date","Version","Date","Version","Lateststablerelease"
"Firstpublicrelease","Firststablerelease","Client","Firstpublicrelease","Firststablerelease","Lateststablerelease"
