"Language","Text"
"English","Allhumanbeingsarebornfreeandequalindignityandrights.Theyareendowedwithreasonandconscienceandshouldacttowardsoneanotherinaspiritofbrotherhood."
"Irish","Saoláiteargachduinedenchinedaonnasaoraguscomhionannindínitagusigcearta.Tábuaanréasúinagusanchoinsiasaacuagusbacheartdóibhgníomhúidtreoachéileispioradanbhráithreachais."
"Manx","Tadychooilleyghooinneyruggitseyrascorrymrishdychooilleyghooinneyelleyaynsooashleyasaynscairys.Taresoonascooinsheansestowitorrooaslhisaghaddellalrishycheilleyleshspyrrydbraaragh."
"ScottishGaelic","Rugadhnah-uileduinesaoragusco-ionnannanurram'snancòirichean.Thaiadreusantaiscogaiseach,agusbuchòirdhaibhaghiùlainrisachèileannanspioradbràthaireil."
