"Company","Software","On-demandscan","On-accessscan","Boot-timescans","Heuristics","CloudAV","Firewall","IDS","IPS","Sandbox","EmailSecurity","AntiSpam","Webprotection","Macroprotection","LiveUpdate","Support","SettingsImport/Export","installer/updaterMIMAsafe","License","Price","Firstrelease","Countryoforigin","Originalauthor/s","Notes"
"Avast","AvastFreeAntivirus","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","?","Proprietary","Free","1988","CzechRepublic","PavelBaudišandEduardKu?era",""
"Avast","AvastPremiumSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Proprietary","Trialware","1997","CzechRepublic","PavelBaudišandEduardKu?era",""
"AVGTechnologies(avast)","AVGAntivirusFREE","Yes","Yes","Yes","Yes","No","No","No","No","?","No","No","Yes","Yes","Yes","Yes","No","?","Proprietary","Free","1992","CzechRepublic","JanGritzbachandTomášHofer",""
"AVGTechnologies(avast)","AVGAntivirus","Yes","Yes","Yes","Yes","Yes","No","No","No","?","Yes","No","Yes","Yes","Yes","Yes","No","?","Proprietary","Non-free","2006","CzechRepublic","JanGritzbachandTomášHofer",""
"AVGTechnologies(avast)","AVGInternetSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","No","?","Proprietary","Non-free","2008","CzechRepublic","JanGritzbachandTomášHofer",""
"Avira","AviraAntivirusFREE","Yes","Yes","Yes","Yes","Yes","No","No","No","?","No","Yes","No","Yes","Yes","Yes","?","?","Proprietary","Free","1988","Germany","TjarkAuerbach",""
"Avira","AviraInternetSecurity","Yes","Yes","Yes","Yes","Yes","No","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","2002","Germany","TjarkAuerbach",""
"Bitdefender","BitdefenderAntivirusFree","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","?","?","Proprietary","Free","2013","Romania","",""
"Bitdefender","BitdefenderAntivirusPlus","Yes","Yes","Yes","Yes","Yes","Yes","vte","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Proprietary","Non-free","1996","Romania","",""
"Bitdefender","BitdefenderInternetSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","No","Proprietary","Non-free","2008","Romania","",""
"CheckPoint","ZoneAlarmPROAntivirus+Firewall","Yes","Yes","No","Yes","No","Yes","No","No","?","No","No","No","Yes","Yes","Yes","Yes","?","Proprietary","Non-free","2002","Israel","","Third-partyantivirusengine(Kaspersky)"
"CheckPoint","ZoneAlarmExtremeSecurity","Yes","Yes","No","Yes","Yes","Yes","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Proprietary","Non-free","2002","UnitedStates","",""
"Cisco(originallyImmunet)","Immunet","Yes","Yes","No","No","Yes","No","No","No","?","Yes","No","No","No","Yes","Yes","?","?","Proprietary","Free","2010","UnitedStates","","Third-partyantivirusengine(ClamAV)"
"ClamWin","ClamWinFreeAntivirus","Yes","Yes(withWinpoochorClamSentinel)","Yes(withClamSentinel)","Yes","No","No","No","No","?","Yes","No","No","No","Yes","No","?","?","GPL-2.0-or-later","Free","2002","Australia","","Third-partyantivirusengine(ClamAV)"
"ComodoGroup","ComodoAntivirus","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes*","Yes","Yes","Yes*","Yes","Yes","Yes","?","Proprietary","Free","2008","UnitedStates","","*Protectionviacontainmentofuntrustedexecutablecode."
