"ACER"
"Manufacturer","Model","Weight[kg]","Weight[lb]","Displaysize""","Displayresolution","DisplayDPI","CPU","Speed[GHz]","HSDPA","Videochipset","Videoconnection(s)","Storagetype","Storage[GB]","RAM[GB]","Batterylife[h](lowend)","Batterylife[h](highend)","Keyboardsizein%","Camera","Mouselayout","LinuxOSchoice(s)","WindowsOSchoice(s)","Manual/DataSheet"
"AcerInc.","AspireOne","0.99,1.26","2.18,2.77","8.9-11.6","1024×600,1366×768WSVGALEDglossy","133-135","Atom","1.6","","GMA950","VGA","SSD+SDHC,HDD","8,16/120,160,25","0.5,1,2","3(3-cell)","6–7(6-cell)","?","Built-in","Touchpad,buttonsoneachside","Linpus","7StarterEdition",""
"ALWAYSINNOVATING"
"AlwaysInnovating","TouchBook","0.675/1.418","1.488/3.126","8.9","1024×600touchscreen","133-102","OMAP3530","0.6","","PowerVRSGX530GPU+430MHzC64x+DSP","None","RemovableSDcard","8","0.25","3-5(tabletonly,6000mAh)","10-15(withkeyboard,12000mAh)","95%","None","Touchpad2-buttonsbelow","Ångstrom,Ubuntu(operatingsystem),Android","CE/notx86based",""
"AIGO"
"Aigo","MIDP8880T","0.34","0.75","4.8","800×480","194","Atom","0.8","TD","GMA500","VGA","SSD+SDHC,HDD","8,16/120","0,5or1","3(3-cell)","6–7(6-cell)","","3.2MP","Touchscreen","","XP",""
"ARCHOS"
"Archos","Archos10","1.23","2.7","10.2","1024×600","116","AtomN270","1.6","","GMA950","VGA","HDD","160","1","","","","1.3MP","Touchpad2-buttonsbelow","","XP",""
"ASUS"
"Manufacturer","Model","Weight[kg]","Weight[lb]","Displaysize""","Displayresolution","DisplayDPI","CPU","Speed[GHz]","HSDPA","Videochipset","Videoconnection(s)","Storagetype","Storage[GB]","RAM[GB]","Batterylife[h](lowend)","Batterylife[h](highend)","Keyboardsizein%","Camera","Mouselayout","Linux/UnixOSchoice(s)","WindowsOSchoice(s)","Manual/DataSheet"
"Asus","EeePC701SD","0.905","2.00","7","800×480WVGAmatte","133","Celeron-MULV353","0.9","?","?","VGA","SSD","8","0.5","3.4","3.5","83%","0.3MP","?","Linux","XPHome",""
"Asus","EeePC900","0.99","2.18","8.9","1024×600WSVGAmatte","133","Celeron-MULV353","0.9","","?","VGA","SSD","12,16,20","1","3.5(4-cell)","3.5(4-cell)","83%","1.3MP","Touchpad2-buttonsbelow","Xandros","XP",""
"Asus","EeePC900A","0.99","2.18","8.9","1024×600WSVGAmatte","133","AtomN270","1.6","","GMA950","VGA","SSD","4,8,16","1","3.5(4-cell)","3.5(4-cell)","83%","None,0.3MP","Touchpad2-buttonsbelow","Xandros","XP",""
"Asus","EeePC900HA","1.23","2.7","8.9","1024×600WSVGAmatte","133","AtomN270","1.6","","GMA3150","VGA","HDD","160","1","3.5(4-cell)","10400mAh7.5hr(8-cell)","83%","0.3MP","Touchpad2-buttonsbelow","?","WindowsXP",""
"Asus","EeePC901","1.14","2.51","8.9","1024×600WSVGAmatte","133","AtomN270","1.6","PCBsocketspresent.Modoption.","GMA950","VGA","SSD+SDHC","12,20","1-2","4.2","7.8","83%","1.3MP","Touchpad2-buttonsbelow","Xandros","XP",""
"Asus","EeePC904HD","1.40","3.09","8.9","1024×600WVGA","133","Celeron-M","0.9","","?","VGA","HDD","80","1","?","?","?","?","","?","XP",""
"Asus","EeePC1000","1.45","3.19","10.1","1024×600WSVGAmatte","117","AtomN270","1.6","","945GME","VGA","SSD+SDHC,HDD","40/80/120/160","1,2","4.2","7.8","92%","?","","Xandros","XP",""
"Asus","EeePC1000HE","1.45","3.20","10.1","1024×600WSVGAmatte","117","AtomN280","1.66","","GMA950","VGA","HDD","160","1,2","?","9.5","92%","1.3MP","Touchpad2-buttonsbelow","None","XPHome",""
"Asus","EeePC1001HA","1.1","2.4","10.1","1024×600WSVGA,matte","117","AtomN270","1.6","","GMA950","VGA","HDD","160","1,2(oneslot,fieldupgradable)","4(3-cell,2200mAh,23Wh)","8(6-cell,4600mAh,48Wh)","92%","0.3MP","Touchpad2-buttonsbelow,multitouch","GNU","XPHome",""
"Asus","EeePC1005HA-PU1X","1.27","2.81","10.1","1024×600WSVGA,glossy","117","AtomN280","1.66","","GMA950","VGA","HDD","160+10EeeStorage","1,2(oneslot,fieldupgradable)","","10.5(6-cell,5600mAh,63Wh)","92%","1.3MP","Touchpad2-buttonsbelow,multitouch","None","XPHome",""
"Asus","EeePC1001PX-EU0X","1.1","2.42(with3cellbattery?)","10.1","1024×600WSVGA,matte","117","AtomN450","?","","IntelUMA","VGA","HDD","160(XP)/250(Win7)+10EeeStorage","1,2(oneslot,fieldupgradable","4.5(3cell,23Wh)","9(6-cell,48Wh)","95%","0.3MP","Touchpad2-buttonsbelow,multitouch","None","XPHomeor7Starter",""
"Asus","EeePC1008HA","1.09","2.40","10.1","1024×600WSVGAglossy","117","AtomN280","1.66","","GMA950","VGA","HDD","160+10EeeStorage","1,2","?","6.0","92%","1.3MP","","GNU","XPHome",""
"Asus","EeePC1015P","1.1/1.25","","10.1","1024x600WSVGA","117","IntelAtomN450","?","","?","VGA","HDD","?","1-2(DDR2)","5(3-cell,23Wh)","9(6-cell,48Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Starter","EeePC1015PManual"
"Asus","EeePC1015PD","1.1/1.25","","10.1","1024x600WSVGA","117","IntelAtomN455/N475","?","","NVIDIAIONN11M-PT1","VGA","HDD","160/250/320+WebStorage(1year)","1-2(DDR3)","4.5(3-cell,23Wh)","13(6-cell,63Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Starter","EeePC1015PDManual"
"Asus","EeePC1015PE","1.1/1.25","","10.1","1024x600WSVGA","117","IntelAtomN550","1.5","","?","VGA","HDD","160/250/320+WebStorage(500GB)","1-2(DDR2)","5(6-cell,23Wh)","13.5(6-cell,63Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Starter","EeePC1015PEManual"
"Asus","EeePC1015PED","1.1/1.25","","10.1","1024x600WSVGA","117","IntelAtomN455/N475","?","","?","VGA","HDD","160/250/320+WebStorage(500GB)","1-2(DDR3)","4.5(3-cell,23Wh)","13(6-cell,63Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Starter","EeePC1015PEDManual"
"Asus","EeePC1015PEM","1.27","","10.1","1024x600WSVGA","117","IntelAtomN550","1.5","","?","VGA","HDD","160/250/320+WebStorage(500GB)","1-2(DDR3)","10(6-cell,48Wh)","13(6-cell,63Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Starter","EeePC1015PEMManual"
"Asus","EeePC1015PN","1.25","","10.1","1024x600WSVGA","117","IntelAtomN570","?","","NVIDIAIONN11M-PT1","VGA,HDMI","HDD","250+WebStorage(500GB)","1-2(DDR3)","8(6-cell,47Wh)","10(6-cell,56Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7HomePremium/7Starter","EeePC1015PNManual"
"Asus","EeePC1015T","1.25","","10.1","1024x600WSVGA","117","AMDAPU?","?","","?","VGA","HDD","160/250/320","1-4(DDR3)","6(6-cell,48Wh)","7.5(6-cell,63Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Starter","EeePC1015TManual"
"Asus","EeePC1015B","1.28/1.3","","10.1","1024x600WSVGA","117","AMDAPUC30/C50","1.2/1.0","","AMDRadeonHD6250","VGA,HDMI","HDD","250/320/500+WebStorage","1-2(DDR3)","3(3-cell,2200mAh,23Wh)","8.5(6-cell,5200mAh,56Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Starter","EeePC1015BManual"
"Asus","EeePC1015BX","1.17/1.29","","10.1","1024x600WSVGA","117","AMDAPUC30/C50/C60","1.2/1.0","","AMDRadeonHD6250/6290","VGA,HDMI","HDD","250/320/500+3(WebStorage)","1-2(DDR3)","3(3-cell,2200mAh,23Wh)","7.5(6-cell,5200mAh,56Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Starter","EeePC1015BXManual"
"Asus","EeePC1015CX","1.1/1.25","","10.1","1024x600WSVGA","117","IntelAtomN2600","1.6","","IntelNM10(Chipset)","VGA,HDMI","HDD","320/500","1-2(DDR3)","5(3-cell,23Wh)","11(6-cell,47Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Starter","EeePC1015CXManual"
"Asus","EeePC1016P","1.13/1.27","","10.1","1024x600WSVGA","117","IntelAtomN455","1.66","","IntelNM10(Chipset)","VGA","HDD","160/250/320","1-2(DDR3)","4.5(3-cell,23Wh)","13(6-cell,63Wh)","?","0.3MP","Touchpad2-buttonsbelow","-","7Pro7HomePremium","EeePC1016PManual"
"Asus","EeePCT91","0.9","2.1","8.9","1024×600WSVGAtouchscreen","133","AtomZ520","1.33","","GMA500","VGA","SSD+SDHC","16+20EeeStorage","1","(InternalLiPo,?cell,3850mAh)","4.0","92%","0.3MP","Touchpad2-buttonsbelow","?","XPHome",""
"Asus","EeePCT91MT","0.96","2.1","8.9","1024×600WSVGAtouchscreen","133","AtomZ520","1.33","","GMA500","VGA","SSD+SDHC","32+500EeeStorage","1","(InternalLiPo,?cell,3850mAh)","5.0","92%","0.3MP","Touchpad2-buttonsbelow","?","7Home",""
