"Charttype/Framework","Charttype/Framework","AdobeFlexbuilt-incharts","Axiis","BirdEye","Flare","Flexmonster","IBMILOGElixir","KapITLabs","yFiles","amCharts","AnyChart","LiveGapChart"
"Cost","Cost","Free","Free","Free","Free","Non-freecontactvendorforprices","Non-free£556(forEULA),contactvendorforOEM","Freefornon-commercial,€2'500(VATexcluded)forfull1-developerpackage","Non-freecontactvendorforprices","Free(withlinktoamCharts)link-freefrom€85}","Free(withlinktoAnyChart)Teamlicenseavailable}","Free"
"License","License","MPL","MIT","MIT","BSD","Proprietary","Proprietary","Proprietary","Proprietary","Proprietary","Proprietary","Free"
"Opensource","Opensource","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No"
"Bar/Columncharts","Simple","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Bar/Columncharts","Stacked","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes"
"Bar/Columncharts","Floating(Range)","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes"
"Bar/Columncharts","Waterfall","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No"
"Bar/Columncharts","Layered","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No"
"Linecharts","Simple","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Linecharts","Spline(Curve)","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes"
"Linecharts","Step","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes"
"Piecharts","Simple","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Piecharts","Doughnut(Ring)","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes"
"Piecharts","Exploded","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No"
"Piecharts","Stacked","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No"
"Areacharts","Simple","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes"
"Areacharts","Spline(Curve)","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes"
"Areacharts","Stacked","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes"
"Areacharts","Floating(Range)","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes"
"Areacharts","Histogram(Step)","Yes","No","No","No","No","Yes","No","No","Yes","Yes","No"
"Scatterplotcharts","Simple","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No"
"Scatterplotcharts","Bubble","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No"
"Circularcharts","Radar","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes"
"Circularcharts","Polar","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes"
"Accumulationcharts","Pyramid","No","No","No","No","No","No","No","No","No","Yes","No"
"Accumulationcharts","Funnel","No","No","No","No","No","No","No","No","No","Yes","No"
"Tree/Heatmapcharts","Treemap","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No"
"Tree/Heatmapcharts","Heatmap","No","No","No","No","No","Yes","No","No","No","No","No"
"Financecharts","OHLC","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Financecharts","Candlestick","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Financecharts","Kagi","No","No","No","No","No","No","No","No","No","No","No"
"Gaugecharts","Gaugecharts","No","No","No","No","No","Yes","No","No","No","Yes","No"
"Cartogramcharts","Cartogramcharts","No","No","Yes","No","No","Yes","No","No","No","No","No"
"Ganttcharts","Ganttcharts","No","No","No","No","No","Yes","No","No","No","Yes","No"
"Dependencygraphs","Dependencygraphs","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"Nomograms","Smithchart","No","Yes","No","No","No","No","No","No","No","No","No"
"Organizationalcharts","Organizationalcharts","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
"Flowcharts","Flowcharts","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
