"Platform","PrimaryDomain","SupportingOrganization","License","ProgrammingLanguage","OperatingSystem","UserSupport","GISCapabilities","3DCapabilities","LastUpdate"
"AdaptiveModeler","Buildingagent-basedmarketsimulationmodelsforpriceforecastingofreal-worldstocksandothersecurities","Altreva;Utrecht,Netherlands","Proprietary;freeevaluationversionavailableforresearchandexperimentation(somelimitationsbutnoexpiration)","Noprogrammingskillsrequired.Anadaptiveformofgeneticprogrammingisusedtocreatetradingrules.Userscanselectfunctionstobeusedinthegeneticprogrammingengine.","Windows","FAQ,documentation,tutorial,examples,forum,emailsupport","Unknown","YesUpto3agentpropertiescanbevisualizedinreal-timeusing2Dgraphicsandcolor","July20,2020(Version1.6.0)"
"AnyLogic","Agent-basedgeneralpurpose;alsosupportsdiscreteeventandsystemdynamicssimulations.","TheAnyLogicCompany;OakbrookTerrace,Illinois,USA","Proprietary;FreePersonalLearningEditionavailable","Java","Linux,macOS,Windows","Demos;training;onlinecommunity;askaquestion;onlinehelp;tutorials;consultingservices","Yes:supportsbothtilemapsfromfreeonlineprovidersandshapefile-basedmaps","Yes","September24,2021"
"Cougaar","Multi-agentsystems;highlydistributed,scalable,reliable,survivableapplications;Domainindependent;largescaledistributed,complex,dataintensive(canbeconfiguredforsmall-scaledembeddedapplications)","CougaarSoftwareInc.;Vienna,Virginia,USA].","CougaarOpenSourceLicense(COSL)isamodifiedversionoftheOSIapprovedBSDLicense","Java","Linux,macOS,Windows","FAQ;tutorials;slideshows;documentation;selectedreferences;emailsupport;publicforums;mailinglists","YesIntegratedwithOpenMap","No","2012"
"Framsticks","2D/3Dsimulationsof(evolving)multi-agentsystemsandartificiallife","PoznanUniversityofTechnology,Poznan,Poland","Dependsonmodule:GPL/LGPL/Propertiary","FramScript(similartoJavaScript)","Cross-platform","Emaildeveloper;tutorials;manual;FAQ;forums;API;documentation;selectedpublications;examples","Yes","Yes","July14,2015"
"GAMAPlatform","Modelingandsimulationdevelopmentenvironmentforbuildingspatiallyexplicitagent-basedsimulations.","IRD/SUinternationalresearchunitUMMISCO,France","GPLv3.0","GAML(GAmaModelingLanguage)forsimulations,Javaforextensions","Windows;Linux;*nix;MacOSX","tutorials;manual;FAQ;forums;documentation;selectedpublications;examples","Yes","Yes","November2,2021(version1.8.2)"
"JADE","Distributedapplicationscomposedofautonomousentities","TelecomItalia;Torino&Parma,Italy","LGPLversion2","Java","Cross-platform","FAQ;mailinglist;defectlist;tutorials;API;documentation","Unknown","Unknown","August6,2017"
"MASON","Generalpurpose;socialcomplexity,physicalmodeling,abstractmodeling,AI/machinelearning","GeorgeMasonUniversity,Fairfax,Virginia,USA","AcademicFreeLicense(opensource)","Java","Cross-platform","Mailinglist;documentation;Tutorials;thirdpartyextensions;referencepapers;API","Yes","Yes","September3,2019(Version20)"
"NetLogo","Socialandnaturalsciences;Helpbeginningusersgetstartedauthoringmodels","NorthwesternUniversity,Evanston,Illinois,USA","GPL","NetLogo","Cross-platform","Documentation;FAQ;selectedreferences;tutorials;thirdpartyextensions;defectlist;mailinglists","Yes","Yes","October21,2021(Version6.2.1)"
"Repast","Socialsciences","ArgonneNationalLaboratory,UniversityofChicago;Lemont,Illinois,USA","BSD","Java(RepastS,RepastJ);Python(RepastPy);VisualBasic,.Net,C++,J#,C#(Repast.net)","Cross-platform","Documentation;mailinglist;defectlist;referencepapers;externaltools;tutorials;FAQ;examples","Yes","Yes","October21,2021(Version2.9.0)"
"SARL","Distributedapplicationscomposedofautonomousentities","*StéphaneGalland,BurgundyFranche-ComtéUniversity,France;*NicolasGaud,BurgundyFranche-ComtéUniversity,France,*SebastianRodriguez,AdvancedInformaticsTechnologyResearchGroup,Tucuman,Argentina","Apacheversion2","SARL,Java","Cross-platform","FAQ;mailinglist;bugtracker;tutorials;API;documentation","YesByusingJavaextensionlibraries,e.g.AFC.","YesByusingJavaextensionlibraries,e.g.Java3D.","May27,2021(Version0.12.0)"
"Soar","GeneralpurposeAI;humanperformancemodeling;learning(includingexplanation-basedlearning)","JohnE.Laird,ClareBatesCongdon,MazinAssanie,NateDerbinskyandJosephXu;DivisionofComputerScienceandEngineering,UniversityofMichigan,AnnArbor,Michigan,USA","BSD","Soar1to5inLisp;Soar6inC;Java,C++,TCL","Cross-platform","Documentation;FAQ;selectedpublications;defectlist;thirdpartyextensions;mailinglist;contactauthors;tutorial;examples;wiki","Unknown","Unknown","July28,2017(Version9.6.0)"
"StarLogo","Socialandnaturalsciences;Educators;forstudentstomodelthebehaviorofdecentralizedsystems;userfriendlyforK–12students","MitchelResnick,EricKlopfer,andothersatMITMediaLabandTheMITSchellerTeacherEducationProgram,MassachusettsInstituteofTechnology;Cambridge,MA,USA","Free(closedsource)–ClearthoughtSoftwareLicense,Version1.0","StarLogo(anextensionofLogo)","Cross-platform","Mailinglist;tutorials;FAQ;buglist;documentation;developercontacts","Unknown","Unknown","November27,2018"
"Swarm","Generalpurposeagentbased","SwarmDevelopmentGroup","GPL","Java;Objective-C","Cross-platform","Wiki;tutorials;examples;documentation;FAQ;selectedpublications;mailinglists","Unknown","Unknown","2005"
