"Name","HDRinput(EXR,HDR,Logluv,etc.)","MergingtoHDRfromLDRimages","HDRoutput(EXR,HDR,Logluv,etc.)","Tonemapping","Exposurefusion","Notes"
"PanoweaverStandard/Professional","Yes","Yes","Yes","Yes","Yes",""
"i2AlignQuickageExpress/Pro","No","Yes*","Yes*","No","No","*)Proversiononly."
"PixtraPanoStitcher","No","No","No","No","No",""
"PixtraOmniStitcher","No","No","No","No","No",""
"QuickPHOTO","No","No","No","No","Yes",""
"PhotoFitHarmony/Premium","No","No","No","No","No",""
"PanoramaPlusX4","No","No","No","No","No",""
"PanoramaBuilder7.0/PanoramaBuilder7.0Pro","No","No","No","No","No",""
"360PanoramaProfessional","No","No","No","No","No",""
"VRstitcherFisheyePro","No","No","No","No","No",""
"COOL360","No","No","No","No","No",""
"ThePanoramaFactoryv5","No","No","No","No","No"
"PixMakerLite/Home/Business","No","No","No","No","No",""
"PTAssembler","No","No","No","No","Yes","ExposurefusionwithTuFuseorenfuse.Automaticdetectionofimagestacks."
"PTgui/PTguiPro","Yes*","Yes*","Yes*","Yes*","Yes*","ExposurefusionwithinfuseorTuFuse.*)Proversiononly."
"AutopanoPro/Giga/Server","Yes","Yes","Yes","Yes","Yes","CeasedtradingSeptember2018"
"Autostitch","No","No","No","No","No",""
"CalicoPanorama","No","No","No","No","No",""
"Hugin","Yes","Yes","Yes","No","Yes","Exposurefusionwithenfuse,automaticdetectionofimagestacks."
"3DVistaStitcher3.0","No","No","No","No","No",""
"DJoiner","No","No","No","No","No",""
"PanoramaMaker6","No","No","No","No","No",""
"PhotovistaPanorama","No","No","No","No","No",""
"PanoramaStudio","No","No","No","No","No",""
"StitcherUnlimited2009","Yes","Yes","Yes","Yes","No",""
"ADGPanoramaTools/Pro","No","No","No","No","No",""
"PanoramaComposer3","No","No","No","No","No",""
"ImageCompositeEditor","No","No","No","No","No","Supports16-bitcamerarawinputviaWICplugins"
"PanoramaPerfect","No","No","No","No","No",""
"Photoshop","Yes","Yes","Yes","Yes","No",""
"AIPRLite1","No","No","No","Yes*","No","(*)colormappingaroundtheseamsallowstopreservetheoriginalphotometricpropertiesoftheimages"
"GigapanStitch1.0","No","No","No","No","No",""
"PanoramaMaker","No","No","No","No","No",""
"PanoramaStitcher","Yes","No","No","No","No",""
"SharpStitch","Yes","No","No","No","No",""
"Pano2VR/Pano2VRpro","Yes","No","Yes","No","No",""
"Name","HDRinput(EXR,HDR,Logluv,etc.)","MergingtoHDRfromLDRimages","HDRoutput(EXR,HDR,Logluv,etc.)","Tonemapping","Exposurefusion","Notes"
