"Name","Developer","Initialrelease","Initialrelease","Latestrelease","Platform","Latestrelease","License","Cost"
"Name","Developer","Version","Platform","Date","License","Cost","Version","Date"
"NortonCommander","PeterNortonComputingSymanteccorporation","","1986","Windows","2.01","1999-02-01","Proprietary","?"
"PathFinder","Cocoatech","","2001-04","macOS","9.1","2020-03-24","Proprietary","US$36.00"
"PathMinder","AlbertNurickBrittainFraley","","1984","DOS","4.11","1988","Proprietary","US$39.95"
"PCManFM","HongJenYee","","2006-01-09","","1.2.4","2016-02-21","GPL-2.0-or-later","Nocost"
"PCShell","CentralPointSoftware","","1986","","","","Proprietary","?"
"ranger","RomanZimbelmann","","2010-06-09","BSD","1.9.3","2019-12-31","GPL-3.0-or-later","Nocost"
"ranger","RomanZimbelmann","","2010-06-09","GNU/Linux","1.9.3","2019-12-31","GPL-3.0-or-later","Nocost"
"ranger","RomanZimbelmann","","2010-06-09","macOS","1.9.3","2019-12-31","GPL-3.0-or-later","Nocost"
"ROX-Filer","ThomasLeonardetal.","","2000-03-10","","2.11","2011-10-09","GPL-2.0-or-later","Nocost"
"SpaceFM","IgnorantGuru","0.5.0","2012-01-13","","1.0.6","2018-03-04","GPL-3.0-or-later","Nocost"
"STDUExplorer","STDUtility","","2009-03-23","Windows","1.0.465","2012-05-24","Proprietary","Nocost"
"Tabbles","YellowbluesoftUAB","","2009-08-01","Windows","3.1.29","2016-08-12","Proprietary","US$29.95"
"Thunar","Xfce","","2006-01-22","","4.17.4","2021-07-18","GPL-2.0-or-later","Nocost"
"TotalCommander","ChristianGhisler","1.00d","1993-09-25","Android","3.24","2021-10-18","Proprietary","CHF40,€37,US$42"
"TotalCommander","ChristianGhisler","1.00d","1993-09-25","Windows","10.00","2021-06-10","Proprietary","CHF40,€37,US$42"
"ViewMAX","DigitalResearch/Novell","1.0","1990","DR-DOS","3.0","1993","GPL-2.0-only","Bundled"
"VolkovCommander","VsevolodVolkov","","1992","DOS","4.05","2000-06-16","Proprietary","Depends"
"WinSCP","WinSCP","","2000-09-30","Windows","5.19.6","2022-02-22","GPL-3.0-only","Nocost"
