"Software","Platform","License","Latestversion","Lastreleaseyear","Size(MB)","Description","Number","Supportedmetadatastandards","Supportedfileformats","Supportedfileformats","Supportedfileformats","Supportedmetadatastandards","Supportedmetadatastandards","Supportedmetadatastandards","Supportedmetadatastandards","Supportedmetadatastandards","Supportedfileformats"
"Software","Platform","License","Latestversion","Lastreleaseyear","Size(MB)","Description","Number","EXIF","GPS","IPTC","XMP","Maker","Other","JPEG","TIFF","Raw","Other"
"APhotoManager","Android","GPLv3","0.6.3.180211(35)","2018","1.3","Show/EditGPSinfosoflocalphotosthroughamap.","?","REW","REW","R","REW","R","R","Yes","?","?","?"
"AutoISOTool","Windows","Freeware","?","2007","0.2","GUIforExifTooltopatchCanonISOinformation.","2","W","-","R","-","R","-","Yes","-","-","-"
"AvPicFaceXmpTagger","Linux,Windows","Freeware","1.7","2010","3.7","WritePicasafacerecognitioninformationasXMPtoyourimages.","?","-","-","-","RW","-","-","Yes","-","-","-"
"CaptionPro","MacOS,Windows","Proprietary","1.7.0","2020","80","UsesfacialrecognitiontechnologytoassistintheautomaticapplicationofIPTCandXMPimagemetadata.",">50","-","-","RDEW","RDEW","-","RDEW","Yes","Yes","Yes","Yes"
"Daminion","Windows","Proprietary","6.4.0.2099","2019","359(Server)77,7(Client)","UpdatesEXIF/IPTC/XMP/ID3/Officemetadatainvideo,audio,docs,camerarawandvectorimages.UsesExifTool.",">70","REW","REW","REW","REW","R","REW","Yes","Yes","Yes","Yes"
"DBGallery","Windows","Proprietary,TrialAvailable","7.5","2016","63","CanupdateIPTCandXMPmetadatainimages,video,andaudio.UsesAdobe'sXMPToolkittoread/write.","32","R","REW","REW","REW","-","-","Yes","Yes","Yes","Yes"
"DescriptionExplorer","Windows","Freeware","0.5.2","2009","10.7","CollectionoftoolsforXMPmetadata.","15","-","-","-","EW","-","-","Yes","-","-","-"
"EasyExifDelete","Windows","Freeware","1.2","2010","0.8","CleananyEXIFunwanteddatafromyourdigitalpictures.","N/A","D","D","-","-","-","-","Yes","-","-","-"
"EXIF-O-Matic","Linux,MacOS,Windows","Freeware","1.2","2012","0.2","ViewEXIFtags.","N/A","R","R","-","-","-","-","Yes","-","-","-"
"ExifAuto","Windows","Freeware","2.2","2007","0.4","GUIfront-endforExifTooltoperformsimpleoperations.","5","EW","-","-","-","-","-","Yes","Yes","-","-"
"EXIFBrowser","Windows","Freeware","0.9.9.16","2007","0.9","ExtractEXIFinformationfromimagefiles.","N/A","R","R","-","-","-","-","Yes","Yes","Yes","Yes"
"ExifCopier","Windows","Freeware","0.9","2010","5.0","CopymetadatabetweensetsofmultipleimagesusingExifTool.","?","W","W","W","W","W","W","Yes","Yes","Yes","Yes"
"ExifCleaner","Windows","Shareware","1.8","2012","1.2","Letsyoutoerase/removephotographicmetadata.","N/A","D","D","D","D","D","D","Yes","-","-","-"
"EXIFDateChanger","Windows","Freeware/Shareware","3.55","2017","7","Allowsyouchangethetime,date,andotherinformationstoredinthemetadataofyourphotos.","7","EW","-","EW","-","-","-","Yes","Yes","Yes","Yes"
"ExifDropper","Windows","Freeware","0.9","2009","0.1","Graphicalfront-endforExifToolwithdrag-and-dropandcommand-lineparameters.",">200","EW","EW","EW","EW","EW","EW","Yes","Yes","Yes","Yes"
"ExifMixer","Windows","Freeware","0.50","2008","0.4","GUIextensionfortheExifToolwithcommand-lineparameters.",">200","EW","EW","EW","EW","EW","EW","Yes","Yes","Yes","Yes"
"ExifPilot","Windows","Freeware","4.9.3","2016","2.1","Softwareforviewing,editing,andcreatingmetadata.","26","REW","REW","REW","R","R","R","Yes","Yes","Yes","Yes"
"ExifStats","Windows","Freeware","","2006","2.0","ExtractsometagsusingExifTool.","N/A","R","R","R","R","R","R","Yes","Yes","Yes","Yes"
"ExifTagRemover","Windows","Shareware","5.1","2014","3.5","Allowsyoutoeasilydeleteallmetadatatags.","N/A","D","D","D","D","D","D","Yes","Yes","Yes","Yes"
"ExifTool","Linux,MacOS,Windows","GPLv1orArtisticLicense","12.25","2021","4.7","Powerfulcommandlineutility.",">200","RDEW","RDEW","RDEW","RDEW","RDEW","RDEW","Yes","Yes","Yes","Yes"
"ExifToolGUI","Windows","Freeware","5.16","2015","1.4","GUIfortheExifToolwithsomeeditingfeatures.","64","REW","REW","REW","REW","R","R","Yes","Yes","Yes","Yes"
"EXIFutils","Linux,MacOS,Windows","Shareware","3.1.4","2011","3.5","Setofcommandlineutilitiesthatextract,add,remove,copy,andreplacemetadata.",">200","REW","REW","REW","REW","REW","REW","Yes","Yes","Yes","Yes"
"ExifyMe","Windows","Freeware","1.0","2010","3.3","RestoreEXIFmetadatafromanoriginalimage.","?","W","W","-","-","-","-","Yes","Yes","Yes","Yes"
"Exiv2","Linux,MacOS,Windows","GPLv2","0.27.2","2019","1.6","CommandlineutilityandC++Library",">200","REW","REW","REW","REW","REW","-","Yes","Yes","Yes","-"
"ExposurePlot","Windows","Freeware","1.1.6","2015","0.6","Analyzeyourusageofthefocallengthofyourlenses,ISO,shutterspeedandaperture.","N/A","R","-","-","-","-","-","Yes","-","-","-"
"FreeEXIFEraser","Windows","Freeware","1.1","2011","0,8","AllowsyoutoeasilyandeffectivelydeleteentireEXIF/IPTC/XMPinformationfromimagefiles.","N/A","D","D","D","D","D","D","Yes","-","-","-"
"GeoSetter","Windows","Freeware","3.5.3","2019","19","ShowandchangegeoandIPTC/XMP/EXIFmetadatainimagefiles.Batchchangespossible","?","REW","REW","REW","REW","-","-","Yes","Yes","Yes","Yes"
"GUI2","Windows","Freeware","1.3","2010","15.7","GUIextensionfortheExifTool.","12","R","REW","R","R","R","R","Yes","Yes","Yes","Yes"
"ImageInfoToolkit","MacOS,Windows","Shareware","3.0","2012","4.9","EditorforIPTCandXMPmetadata.","36","R","R","REW","REW","-","-","Yes","Yes","-","Yes"
"ImBatch","Windows","Freefornon-commercialuse","4.7.0(actually5.9.1)","2016","11.9","Batchimageprocessingtool",">50","REW","-","REW","-","-","-","Yes","Yes","Yes","Yes"
"IPTC-PLUSPhotoMetadataToolkit","Windows","Freeware","4","2011","1.2","EditorforIPTCandPLUSphotometadatawithAdobeCS3toCS5.","150","-","-","REW","REW","-","-","Yes","Yes","-","Yes"
"irfanview","Windows","Freefornon-commercialuse","4.51","2018","3.36","Imageviewerthatalsosupportsviewingimagemetadata","?","REW","","REW","","","","Yes","Yes","Yes","Yes"
"iTag","Windows","Shareware","500","2015","9.1","Atoolthataddstitle,descriptionandkeywordtagstophotos.","10","-","-","REW","REW","-","-","Yes","Yes","Yes","Yes"
"JabRef","Java","GPL","?","?","?","ReferencemanagementsoftwarethatusesBibTeX.","?","?","?","?","RDEW","?","?","?","?","?","PDF"
