"BitTorrentclient","Cache","HashWebseeding","HTTPWebseeding","Broad-catching(RSS)","Prioritization","Selectivedownloads","Sequentialdownloading","SOCKS","Trackerexchange","Remotecontrolviaweb","Searchengine","Autoupdates","ReviewsandComments","Notes"
"BitComet","Yes","No","Yes","Beta","Yes","Yes","Yes","Yes","No","Yes","Built-inWebbrowser","Yes","No","Portableversionavailable"
"BitLord","Yes","No","Partial","Yes","Yes","Yes","No","Yes","No","No","Built-inWebbrowser","Yes","No",""
"BitTorrent5,Mainline","No","Yes","Partial","No","Yes","Yes","No","No","No","No","Yes","Yes","No",""
"BitTorrent6","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",""
"Deluge","Yes","Yes","Partial","Plugin","Yes","Yes","Yes","Yes","No","Yes","No","viaPMS","No",""
"FlashGet","No","No","","No","No","No","No","No","No","No","No","No","No","FlashGet(standaloneapplication)isnotFlashGot(FirefoxAddon)"
"FreeDownloadManager","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","No","Optional","No",""
"KTorrent","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Yes","Built-inWebbrowser","viaPMS","No",""
"LimeWire","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No",""
"MLDonkey","Yes","No","","3rdpartybashscript","Yes","No","No","No","No","Yes","Built-inWebbrowser","viaPMS","No",""
"?Torrent","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",""
"Opera12","No","No","","Yes","No","No","No","No","No","No","built-intoWebbrowser","WindowsandMacOSXonly;viaPMSonLinux","No","Webbrowser"
"qBittorrent","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","hard-codedasdisabledinnewerversions","Yes","Yes","viaPMS","No",""
"rTorrent","Partial","No","No","3rdpartyutility","Yes","Yes","No","No","No","Yes","No","viaPMS","No","Nobuilt-indiskcachebutadelayedsync"
"Shareaza","Yes","Yes","No","No","Yes","Yes","inmodclient","No","Yes","Yes","Yes","Yes","No",""
"Tixati","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","lightweightclient,Portableversionavailable,optiontokeepallpeersunchokedavailableIntegralencryptedchatroomsthatallowstreamingaudioandvideo,linksharingandsearching"
"Tonido","No","No","","No","Yes","Yes","No","No","No","Yes","No","Yes","No",""
"Transmission","Yes","No","Partial","No","Yes","Yes","No","No","No","Yes","No","Yes","No",""
"Tribler","Yes","No","No","Yes","Yes","Yes","No","No","No","Partial","Yes(DHT)","Yes","No","Fullydistributedkeywordsearch;integratedanti-spammeasures"
"Vuze(formerlyAzureus)","Yes","","Yes","Yes","Yes","Yes","inpaidversion","Yes","No","Plugin","Yes","Yes","Yes","Theonlyclienttobridgebetweeni2pandtheclearnet."
"Xunlei","Yes","No","","Yes","Yes","Yes","Yes","","","Yes","No","Yes","No",""
"BitTorrentclient","Cache","HashWebseeding","HTTPWebseeding","Broad-catching(RSS)","Prioritization","Selectivedownloads","Sequentialdownloading","SOCKS","Trackerexchange","Remotecontrolviaweb","Searchengine","Autoupdates","ReviewsandComments","Notes"
