"Engine","Origin","Designer","Vehicle","Status","Use","Propellant","Powercycle","Specificimpulse(s)","Thrust(N)","Mass(kg)","Thrust:weightratio","Chamberpressure(bar)","Oxidiser:fuelratio"
"Aeon1","USA","RelativitySpace","Terran1","Development","1st","CH4 / LOX","Gasgenerator","310","86,740(SL)","","","",""
"Aeon1Vacuum","USA","RelativitySpace","Terran1","Development","2nd","CH4 / LOX","Gasgenerator","360","100,085(SL)","","","",""
"AJ-10-190","USA","Aerojet","SpaceShuttle,Orion","Active","Upper","N2O4/MMH","Pressure-fed","316","26,689","118","23.08","8.62",""
"AR1","USA","AerojetRocketdyne","Beta(potential)","Development","1st","RP-1 / LOX","Staged,oxidizer-rich","","2,200,000(SL)","","","","2.72"
"BE-3","USA","BlueOrigin","NewShepard","Active","1st","LH2 / LOX","Combustiontap-off","","490,000","","","",""
"BE-3U","USA","BlueOrigin","NewGlenn","Development","2nd","LH2 / LOX","Expander,open","","710,000","","","",""
"BE-4","USA","BlueOrigin","NewGlenn,Vulcan","Development","1st","CH4 / LOX","Staged,oxidizer-rich","","2,400,000","","","134",""
"CE-20","India","LPSC","GSLVMkIII","Active","Upper","LH2 / LOX","Gasgenerator","434","196,500","588","34.1","60.00","5.05"
"CE-7.5","India","LPSC","GSLVMkII","Active","Upper","LH2 / LOX","Staged","454","73,500","445","16.85","58",""
"Engine-2","USA","LauncherSpace","Rocket-1","Development","1st","RP-1/LOX","Staged,oxidizer-rich","327290(SL)","100,000","","","","2.62"
"Engine-2Vacuum","USA","LauncherSpace","Rocket-1","Development","2nd","RP-1/LOX","Staged,oxidizer-rich","365","100,000","","","","2.62"
"GEM63","USA","NorthropGrumman","AtlasV","Active","Booster","HTPB","Solidfuel","279(SL)","1,662,745","49,300withfuel","","",""
"GEM63XL","USA","NorthropGrumman","Vulcan","Development","Booster","HTPB","Solidfuel","280(SL)","2,025,720","53,400withfuel","","",""
"Hadley","USA","UrsaMajorTechnologies","GOLauncher1","Development","1st","RP-1 / LOX","Staged,oxidizer-rich","","22,241(SL)","","","",""
"HM-7B","Europe","Snecma","Ariane2,3,4,5ECA","Active","Upper","LH2 / LOX","Gasgenerator","446310(SL)","64,80043,600(SL)","165","43.25","37","5"
"HyPER-15","SouthKorea","Innospace","Hanbit-Nano,-Micro,-Mini","Development","1st","Paraffin / LOX","Electricpump","292","150,000","","","",""
"LE-5B","Japan","Mitsubishi,JAXA","H-IIA,H-IIB","Active","Upper","LH2 / LOX","Expander,open","447","137,000","269","51.93","36.0","5"
"LE-7A","Japan","Mitsubishi,JAXA","H-IIA,H-IIB","Active","1st","LH2 / LOX","Staged","438338(SL)","1,098,000870,000(SL)","1,800","62.2","121","5.9"
"Lightning1","USA","FireflyAerospace","Alpha","Development","2nd","RP-1 / LOX","Combustiontap-off","322","70,100","","","",""
"Merlin1DFT","USA","SpaceX","Falcon9B5,Heavy","Active","1st","RP-1 / LOX","Gasgenerator","311","914,000845,000(SL)","470","194.5","",""
"MerlinVacuum1D","USA","SpaceX","Falcon9B5,Heavy","Active","2nd","RP-1 / LOX","Gasgenerator","348","981,000","","","","2.36"
"M10","EU","Avio","Vega-E","Development","Upper","CH4 / LOX","Expander,closed","362","98,000","","","","3.4"
"NewtonThree","USA","VirginOrbit","LauncherOne","Active","Booster","RP-1 / LOX","Gasgenerator","","266,893","","","",""
"NewtonFour","USA","VirginOrbit","LauncherOne","Active","2nd","RP-1 / LOX","Gasgenerator","","22,241","","","",""
"NK-33A(AJ26-62),11Д111 / 14Д15","SovietUnion","JSCKuznetsov","Antares100,Soyuz-2-1v","Active","1st","RP-1 / LOX","Staged,oxidizer-rich","331297(SL)","1,680,0001,510,000(SL)","1,222","136.8","145",""
"P80","Europe","Avio","Vega","Active","1st","HTPB","Solidfuel","280","3,015,000","96,000withfuel","","88",""
"P120","Europe","Avio","Ariane6,Vega-C","Development","Booster,1st","HTPB","Solidfuel","279","4,650,000","161,000withfuel","","105",""
"P230","Europe","Avio","Ariane5","Active","Booster","HTPB","Solidfuel","286259(SL)","6,996,0005,860,000(SL)","269,000withfuel","","69",""
"S139","India","SDSC","PSLV","Active","1st","HTPB","Solidfuel","269","4,860,000","160,200withfuel","","58",""
"Raptor","USA","SpaceX","Starship","Development","1st,2nd","CH4 / LOX","Staged,full-flow","350330(SL)","2,224,000(SL,est.)(goal)","~1,360(goal)","≥170(goal)","330","3.6"
"RaptorVacuum","USA","SpaceX","Starship","Development","2nd","CH4 / LOX","Staged,full-flow","380+","2,150,000","~1,360(goal)","≤120(goal)","330","3.6"
"RD-0124,14Д23","Russia","KBKhA","Soyuz-2.1b,Soyuz-2-1v,Angara","Active","2nd,3rd","RP-1 / LOX","Staged,oxidizer-rich","359","294,300","520","57.7","160",""
"RD-0146D","Russia","KBKhA","Angara","Development","Upper","LH2 / LOX","Expander,closed","470","68,600","","","59",""
"RD-107A,14Д22","Russia","NPOEnergomash","Soyuz-FG,-2","Active","1st","RP-1 / LOX","Gasgenerator","320.2263.3(SL)","1,019,892839,449(SL)","1,090","78.53","61.2",""
"RD-108A,14Д21","Russia","NPOEnergomash","Soyuz-FG,-2","Active","2nd","RP-1 / LOX","Gasgenerator","320.6257.7(SL)","921,825792,377(SL)","1,075","75.16","55.5",""
"RD-171M,11Д520","Russia","NPOEnergomash","Soyuz-5,Zenit-2M,-3SL,-3SLB,-3SLBF","Active","1st","RP-1 / LOX","Staged,oxidizer-rich","337.2309.5(SL)","7,904,1607,256,921(SL)","9,300","79.57","250",""
"RD-180","Russia","NPOEnergomash","AtlasV,III","Active","1st","RP-1 / LOX","Staged,oxidizer-rich","338.4311.9(SL)","4,152,1363,826,555(SL)","5,480","71.2","261.7","2.72"
"RD-181","Russia","NPOEnergomash","Antares200","Active","1st","RP-1 / LOX","Staged,oxidizer-rich","339.2311.9(SL)","2,085,0001,922,000(SL)","2,200","89","262.6",""
"RD-191","Russia","NPOEnergomash","Angara","Active","1st","RP-1 / LOX","Staged,oxidizer-rich","337.5311.2(SL)","2,084,8941,922,103(SL)","2,200","89.09","262.6",""
"RD-193","Russia","NPOEnergomash","Soyuz-2-1v","Development","1st","RP-1 / LOX","Staged,oxidizer-rich","337.5311.2(SL)","2,084,8941,922,103(SL)","1,900","103.15","",""
"RD-276,14Д14М","Russia","NPOEnergomash","Proton-M","Active","1st","N2O4 / UDMH","Staged,oxidizer-rich","315.8288(SL)","1,831,8821,671,053(SL)","1,120","171.2","168.5",""
"RD-801","Ukraine","Pivdenne/Pivdenmash","Mayak","Development","1st","RP-1 / LOX","Staged,oxidizer-rich","336300.7(SL)","1,339,2551,198,608(SL)","1,630","","180","2.65"
"RD-809K","Ukraine","Pivdenne/Pivdenmash","Mayak","Development","Upper","RP-1 / LOX","Staged,oxidizer-rich","352","98,067","330","","","2.62"
"RD-810","Ukraine","Pivdenne/Pivdenmash","Mayak,Zenit","Development","1st","RP-1 / LOX","Staged,oxidizer-rich","335.5299(SL)","2,104,8901,876,149(SL)","2,800","","180","2.65"
"RD-843","Ukraine","Pivdenne/Pivdenmash","Vega","Active","upper","N2O4 / UDMH","Pressure-fed","315.5","2,452","15.93","","20.4","2.0"
"RD-861K","Ukraine","Pivdenne/Pivdenmash","Cyclone-4M","Development","2nd","N2O4 / UDMH","Gasgenerator","330","77,629","207","","","2.41"
"RD-870","Ukraine","Pivdenne/Pivdenmash","Cyclone-4M","Development","1st","RP-1 / LOX","Staged,oxidizer-rich","340301.5(SL)","876,715777,667(SL)","1,353","","","2.684"
"Reaver1","USA","FireflyAerospace","Alpha","Development","1st","RP-1 / LOX","Combustiontap-off","295.6","184,000","","","",""
"RL-10A-4-2","USA","AerojetRocketdyne","AtlasIIIB,V","Active","Upper","LH2 / LOX","Expander,closed","451","99,195","168","60.27","42","5.5"
"RL-10B-2","USA","AerojetRocketdyne","DeltaIII,IV,SLS","Active","Upper","LH2 / LOX","Expander,closed","465.5","110,093","301","37.27","44","5.88"
"RL-10C-1","USA","AerojetRocketdyne","DeltaIII,IV,SLS,Vulcan","Active","Upper","LH2 / LOX","Expander,closed","450","101,820","191","54.5","44","5.5"
"RS-25","USA","Rocketdyne","SpaceShuttle,SLS","Active","1st","LH2 / LOX","Staged,fuel-rich","452.3366(SL)","2,279,0001,860,000(SL)","3,526","53.79","206.4",""
"RS-68A","USA","Rocketdyne","DeltaIV,IVHeavy","Active","1st","LH2 / LOX","Gasgenerator","411362(SL)","3,558,5773,135,996(SL)","6,686","54.31","109","5.97"
"Rutherford","NewZealandUSA","RocketLab","Electron","Active","1st","RP-1 / LOX","Electricpump","311","24,90025,000(SL)","35","72.8(SL)","",""
"RutherfordVacuum","NewZealandUSA","RocketLab","Electron","Active","2nd","RP-1 / LOX","Electricpump","343","25,800","","","",""
"S200","India","SDSC","GSLVMkIII","Active","Booster","HTPB","Solidfuel","274.5","5,150,000","207,000withfuel","","",""
"SCE-200","India","LPSC","GSLVMkIII,ULV","Development","Upper,main","RP-1 / LOX","Staged,oxidizer-rich","335299(SL)","2,030,0001,820,000(SL)","2,700","","180",""
"SLSSolidRocketBooster","USA","OrbitalATK","SLS","Development","Booster","PBAN","Solidfuel","267","16,000,000","730,000withfuel","","",""
"SLV-1","India","Godrej&Boyce","PSLV","Active","Booster","HTPB","Solidfuel","253","502,600","10,800withfuel","","43",""
"SRB-A3","Japan","IHIAerospace,JAXA","H-IIA,H-IIB,Epsilon","Active","Booster","HTPB","Solidfuel","283.6","2,305,0002,150,000(SL)","76,600withfuel","","111",""
"TEPREL","Spain","PLDSpace","Miura1,5","Operational","1st","RP-1 / LOX","Pressure-fed","","32,000(SL)","","","",""
"TQ-12","China","Landspace","ZQ-2","Development","1st","CH4 / LOX","Gasgenerator","284","667,000(SL)","","","101",""
"Vikas(rocketengine)","India","LPSC","PSLV,GSLV,GSLVMkIII","Active","2nd,main,booster","N2O4 / UDMH","Gasgenerator","262","680,500–804,500600,500–756,500(SL)","","","53.0–58.5",""
"Vinci","Europe","Snecma","Ariane6","Development","Upper","LH2 / LOX","Expander,closed","467","180,000","280","65.60","61",""
"Vulcain2","Europe","Snecma","Ariane5","Active","1st","LH2 / LOX","Gasgenerator","429318(SL)","1,359,000939,500(SL)","1,800","77.04","117.3",""
"YF-21B","China","AALPT","LongMarch2E,2F,3","Active","Booster,1st","N2O4 / UDMH","Gasgenerator","260.66(SL)","740,400(SL)","","","",""
"YF-21C","China","AALPT","LongMarch2C,2D,3A,3B,3C,4B,4C","Active","1st","N2O4 / UDMH","Gasgenerator","260.7(SL)","740,400(SL)","","","",""
"YF-25","China","AALPT","LongMarch3B,3C","Active","Booster","N2O4 / UDMH","Gasgenerator","260.66(SL)","740,400(SL)","","","",""
"YF-22B","China","AALPT","LongMarch2E,2F","Active","2nd","N2O4 / UDMH","Gasgenerator","298.0","738,400","","","",""
"YF-22C","China","AALPT","LongMarch2C,2D,4B,4C","Active","2nd","N2O4 / UDMH","Gasgenerator","298.0","742,040","","","",""
"YF-22D","China","AALPT","LongMarch3","Active","2nd","N2O4 / UDMH","Gasgenerator","298.0","741,400","","","",""
"YF-22E","China","AALPT","LongMarch3A,3B,3C","Active","2nd","N2O4 / UDMH","Gasgenerator","298.0","741,400","","","",""
"YF-40","China","AALPT","LongMarch4B,4C","Active","3rd","N2O4 / UDMH","Gasgenerator","303","103,000","","","",""
"YF-50D","China","AALPT","LongMarch3B,3C,5,7","Active","Upper","N2O4 / UDMH","Pressure-fed","315.5","6,500","","","",""
"YF-73","China","AALPT","LongMarch3","Active","3rd","LH2 / LOX","Gasgenerator","420.0","44,150","","","",""
"YF-75","China","AALPT","LongMarch3A,3B,3C","Active","3rd","LH2 / LOX","Gasgenerator","438.0","83,585","","","",""
"YF-75D","China","AALPT","LongMarch5","Active","2nd","LH2 / LOX","Expander,closed","442.6","88,360","265","34","41","6.0"
"YF-77","China","AALPT","LongMarch5","Active","1st","LH2 / LOX","Gasgenerator","430.1320.1(SL)","700,000518,000(SL)","1,054","50","102","5.5"
"YF-79","China","AALPT","LongMarch9","Development","3rd","LH2 / LOX","Expander,closed","460.1","243,300","","","70","6.0"
"YF-90","China","AALPT","LongMarch9","Development","2nd","LH2 / LOX","Staged,fuel-rich","454.3","2,300,000","4,674","50","183","5.5"
"YF-100","China","AALPT","LongMarch7,5","Active","1st","RP-1/ LOX","Staged,oxidizer-rich","335300(SL)","1,340,0001,200,000(SL)","1,912","64","180","2.6"
"YF-115","China","AALPT","LongMarch6,7","Active","2nd","RP-1/ LOX","Staged,oxidizer-rich","341.5","176,500","","","120","2.5"
"YF-130","China","AALPT","LongMarch9","Development","1st","RP-1/ LOX","Staged,oxidizer-rich","309","4,800,000","6,118","80","220",""
"Zefiro9A","EuropeanUnion","Avio","Vega","Active","3rd","HTPB","Solidfuel","295.2","314,000","11,400withfuel","","75",""
"Zefiro23","EuropeanUnion","Avio","Vega","Active","2nd","HTPB","Solidfuel","287.5","1,122,000","25,935withfuel","","94",""
