"Format","Languages"
"string1nestring2,orstring1NEstring2","ALGOL68–note:theoperator""ne""isliterallyinboldtype-font."
"string1/=string2","ALGOL68,Ada,Erlang,Fortran,Haskell"
"string1<>string2","BASIC,VB,VB.NET,Pascal,ObjectPascal(Delphi),OCaml,PHP,Seed7,StandardML,F#,COBOL,Cobra,Python2(deprecated)"
"string1#string2","BASIC(someimplementations)"
"string1nestring2","Perl,Raku"
"(string<>string1string2)","Scheme(SRFI13)"
"(string/=string1string2)","CommonLisp"
"(string/=string1string2)","ISLISP"
"(not=string1string2)","Clojure"
"string1!=string2","C++(STL),C#,Go,JavaScript(notsimilar),PHP(notsimilar),Python,Ruby,Rust,Swift,D,Mathematica"
"string1!==string2","JavaScript,PHP"
"string1\=string2","Rexx"
"string1¬=string2","PL/I"
"teststring1!=string2,or[string1!=string2]","BourneShell"
"string1-nestring2,or-not[string]::Equals(string1,string2)","WindowsPowerShell"
"string1~=string2","Lua,Smalltalk"
"string1?string2","APL"
"string1.ne(string2)","Rust"
