"Type","Sensor","Class","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021","2021","2022","2022","2022","2022"
"Type","Sensor","Class","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","Full-frame","Flagship","","","","","","","","","","","","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","","","","","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","Full-frame","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","Flagship","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","","","","1Ds","1DsMkII","1DsMkIII","1DX","1DXMkII","1DXMkIII","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","APS-H","Professional","","","","","","","","1D","1D","1D","1D","1D","1D","1D","1D","1D","1D","1DMkII","1DMkII","1DMkII","1DMkII","1DMkII","1DMkIIN","1DMkIIN","1DMkIIN","1DMkIIN","1DMkIIN","1DMkIIN","1DMkIIN","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIV","1DMkIV","1DMkIV","1DMkIV","1DMkIV","1DMkIV","1DMkIV","1DMkIV","1DMkIV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","Professional","","","","Full-frame","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","","","","","5DS/5DSR",""
"Full-frame","","","","DSLR","","","","Professional","","","","","","","","","","","","","","","","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D","","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","5D","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","x5DMkII","x5DMkIII","5DMkIV"
"Full-frame","DSLR","","","","Advanced,prosumer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","x6D","6DMkII"
"Advanced,prosumer","DSLR","","","","APS-C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","x7D","","","","7DMkII",""
"APS-C","DSLR","","","","Enthusiast,hobbyist","","","","","","","","","","","","","","","","","20Da","20Da","20Da","20Da","","","","20Da","","","","","","","","","","","","","","","","","","","","","","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","","","","60Da","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Enthusiast,hobbyist","","","APS-C","D30","D30","D30","D30","DSLR","D60","D60","D60","","10D","10D","10D","10D","10D","D30","20D","20D","20D","20D","20D","D60","30D","30D","30D","30D","30D","10D","40D","40D","40D","20D","50D","50D","50D","50D","50D","50D","50D","30D","x60D","x60D","x60D","x60D","x60D","x60D","x60D","x60D","x60D","x60D","x60D","40D","x70D","x70D","x70D","x70D","x70D","x70D","x70D","x70D","x70D","x70D","50D","80D","80D","80D","80D","80D","80D","80D","80D","80D","80D","80D","80D","80D","x60D","90D","90D","90D","90D","90D","90D","90D","90D","90D","90D","90D","90D","x70D","80D","90D"
"Enthusiast,hobbyist","","","","APS-C","","","","DSLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760D","760D","760D","760D","760D","760D","760D","","77D","77D","77D","77D","77D","77D","77D","77D","77D","77D","77D","","","","760D","","","","77D","","","","","",""
