"Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","Clockspeeds","Memory","Fillrate","Processingpower(GFLOPS)","Processingpower(GFLOPS)","Memory","Releaseprice(USD)","Memory","Clockspeeds","Clockspeeds","Memory","Fillrate","Processingpower(GFLOPS)","TDP(Watts)","SLIsupport","Releaseprice(USD)"
"Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","Basecoreclock(MHz)","Boostcoreclock(MHz)","Memory(MT/s)","Size(GiB)","TDP(Watts)","SLIsupport","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Pixel(GP/s)","Texture(GT/s)","Singleprecision","Doubleprecision","Halfprecision","MSRP","FoundersEdition"
"GeForceGT1010","January13,2021","GP108","Samsung14LPP","1.8","74","256:16:16","PCIe3.0x16","0.25","1228","1468","5000","2","40.1","GDDR5","64","23.5","23.5","751.6","23.5","?","30","No","Unknown","N/A"
"GeForceGT1030","March12,2018","GP108-310-A1","Samsung14LPP","1.8","74","384:24:16(3)(1)","PCIe3.0x4","?","1152","1379","2100","2","16.8","DDR4","64","18.422.0","27.633.0","884.71?059.0","27.633.0","13.816.5","20","No","$79","N/A"
"GeForceGT1030","May17,2017","GP108-300-A1","384:24:16(3)(1)","PCIe3.0x4",".5","Samsung14LPP","1.8","74","1227","1468","6000","48.0","GDDR5","19.623.4","2","29.435.2","942.31?127.4","64","29.435.2","14.717.6","30","$70","No","N/A"
"GeForceGTX1050","October25,2016","GP107-300-A1","Samsung14LPP","3.3","132","640:40:32(5)(2)","GDDR5","PCIe3.0x16","1","1354","1455","7000","2","112.0","128","43.346.6","54.158.8","1?733.11?862.4","54.158.2","27.029.1","75(Retailupto120)","$109","No","N/A"
"GeForceGTX1050","May21,2018","GP107-301-A1","3.3","132","768:48:24(6)(2)","PCIe3.0x16","Samsung14LPP",".75","1392","7000","1518","GDDR5","3","84.0","96","33.436.4","66.872.9","75(Retailupto120)","2?138.12?331.6","66.872.9","33.436.4","Unknown","No","N/A"
"GeForceGTX1050Ti","October25,2016","GP107-400-A1","3.3","132","Samsung14LPP","PCIe3.0x16","768:48:32(6)(2)","1","1290","7000","GDDR5","1392","4","112.0","128","41.244.5","61.966.8","75(Retailupto120)","1?981.42?138.1","61.966.8","30.933.4","$139","No","N/A"
"GeForceGTX1060","December25,2016","GP104-140-A1","TSMC16FF","7.2","314","PCIe3.0x16","1152:72:48(9)(2)","GDDR5","1.5?","1506","1708","8000","3","192.0","192","72.281.9","108.4122.9","3?469.83?935.2","108.4122.9","54.261.4","120(Retailupto200)","$199","No","N/A"
"GeForceGTX1060","August18,2016","GP106-300-A1","TSMC16FF","4.4","200","1152:72:48(9)(2)","1.5","1506","1708","8000","3","192.0","192","72.281.9","108.4122.9","3?469.83?935.2","108.4122.9","54.261.4","120(Retailupto200)","$199","No","PCIe3.0x16","N/A","GDDR5"
"GeForceGTX1060","December26,2017","4.4","200","GP106-350-K3-A1","TSMC16FF","1280:80:48(10)(2)","1.25","5","160.0","1506","1708","8000","PCIe3.0x16","160","GDDR5","60.268.3","120.4136.7","3?855.34?375.0","120.4136.7","60.268.3","120(Retailupto200)","OEM","No","N/A"
"GeForceGTX1060","March8,2018","GP104-150-A1","TSMC16FF","7.2","314","1280:80:48(10)(2)","1.5","120.4136.7","3?855.34?375.0","120.4136.7","60.268.3","1506","1708","8000","PCIe3.0x16","6","GDDR5","192.0","192","72.282.0","Unknown","No","120(Retailupto200)","N/A"
"GeForceGTX1060","December,2018","7.2","314","1280:80:48(10)(2)","1.5","6","192.0","192","72.282.0","Unknown","GP104-150-KA-A1","TSMC16FF","GDDR5X","No","N/A","PCIe3.0x16","120.4136.7","3?855.34?375.0","120.4136.7","60.268.3","1506","1708","8000","120(Retailupto200)"
"GeForceGTX1060","July19,2016","GP106-400-A1","TSMC16FF","1280:80:48(10)(2)","4.4","6","192.0","192","72.282.0","200","1.5?","GDDR5","120.4136.7","3?855.34?375.0","120.4136.7","60.268.3","1506","1708","8000","PCIe3.0x16","$249","$299","No","120(Retailupto200)"
"GeForceGTX1060","April20,2017","4.4","200","1.5?","GDDR5","GP106-410-A1","TSMC16FF","1280:80:48(10)(2)","9000","6","216.0","192","72.282.0","$299","N/A","120.4136.7","3?855.34?375.0","120.4136.7","60.268.3","1506","1708","PCIe3.0x16","No","120(Retailupto200)"
"GeForceGTX1070","June10,2016/Dec.2018","GP104-200-A1","TSMC16FF","7.2","314","1920:120:64(15)(3)","PCIe3.0x16","1506","2","1683","8000","8","256.0","GDDR5/GDDR5X","256","96.3107.7","180.7201.9","5?783.06?462.7","180.7201.9","90.3100.9","150(Retailupto250)","4-waySLIor2-waySLIHB","$379","$449($399)"
"GeForceGTX1070Ti","November2,2017","GP104-300-A1","7.2","314","TSMC16FF","2","1683","8000","8","256.0","2432:152:64(19)(4)","$449","256","1607","GDDR5","PCIe3.0x16","102.8107.7","244256","7?816.48?186.1","4-waySLIor2-waySLIHB","244.2255.8","122.1127.9","180(Retailupto300)","$449"
"GeForceGTX1080","May27,2016","GP104-400-A1","7.2","1607","314","TSMC16FF","2","2560:160:64(20)(4)","1733","8","180(Retailupto300)","10000","PCIe3.0x16","256","320.0","GDDR5X","102.8110.9","257.1277.2","8?227.88?872.9","257.1277.2","4-waySLIor2-waySLIHB","128.5138.6","$599($499)","$699($549)"
"GeForceGTX1080","April20,2017","GP104-410-A1","2560:160:64(20)(4)","1733","11000","7.2","GDDR5X","102.8110.9","257.1277.2","8?227.88?872.9","257.1277.2","128.5138.6","$599($499)","$699($549)","1607","314","TSMC16FF","2","352.0","PCIe3.0x16","8","180(Retailupto300)","256","4-waySLIor2-waySLIHB"
"GeForceGTX1080Ti","March5,2017","11000","GP102-350-K1-A1","TSMC16FF","12","471","3584:224:88(28)(6)","GDDR5X","PCIe3.0x16","2.75","1480","1582","11","484.0","352","130.2139.2","331.5354.3","$699","10?608.611?339.7","331.5354.3","165.7177.1","4-waySLIor2-waySLIHB","250","$699"
"NvidiaTITANX","August2,2016","GP102-400-A1","12","471","TSMC16FF","3584:224:96(28)(6)","3","1417","GDDR5X","PCIe3.0x16","1531","10000","12","480.0","384","136.0146.9","250","317.4342.9","10?157.010?974.2","317.4342.9","158.7171.4","$1200","4-waySLIor2-waySLIHB","N/A"
"NvidiaTITANXp","April6,2017","GP102-450-A1","12","3","471","TSMC16FF","3840:240:96(30)(6)","12","1405","384","1480","GDDR5X","PCIe3.0x16","11400","547.7","$1200","N/A","134.8142.0","337.2355.2","10?790.411?366.4","337.2355.2","250","168.6177.6","4-waySLIor2-waySLIHB"
"Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","Basecoreclock(MHz)","Boostcoreclock(MHz)","Memory(MT/s)","Size(GiB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Pixel(GP/s)","Texture(GT/s)","Singleprecision","Doubleprecision","Halfprecision","TDP(Watts)","SLIsupport","MSRP","FoundersEdition"
"Clockspeeds","Memory","Fillrate","Processingpower(GFLOPS)","Releaseprice(USD)","Processingpower(GFLOPS)","Memory","Memory","Clockspeeds","Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","Clockspeeds","Memory","Fillrate","Processingpower(GFLOPS)","Releaseprice(USD)","TDP(Watts)","SLIsupport"
