"Kubuntu","Binaryblobs","ext4","systemd","KDEPlasmaWorkspaces","No"
"Xubuntu","Binaryblobs","ext4","systemd","Xfce","No"
"Lubuntu","Binaryblobs","ext4","systemd","LXQt","No"
"Ututo","UtutoXS(stable)isde-blobbedwithLinux-libretools.UtutoUL(development)usesLinux-libre.UtutoULmeans""Ubuntu-Libre""","ext3","systemd","GNOME","No"
"VectorLinux","Binaryblobs","ReiserFS","sysvinit","KDE,Openbox,Fluxbox,IceWM,Xfce","No"
"VoidLinux","Binaryblobs","none","runit","none","No"
"Webconverger","Binaryblobs","gitfs","sysvinit","dwmenforcingaBrowser-onlyinterface","No"
"XBMCLive","Binaryblobs","ext3","systemd","XBMCMediaCenter","No"
"Zentyal","Binaryblobs","ext4","systemd","LXDE","No"
"Zenwalk","Binaryblobs","ext4","sysvinit","Xfce","No"
"Distribution","DefaultLinuxkernel","Defaultfilesystem","Defaultinitsystem","Install-timedesktopenvironmentorwindowmanagerselection","Reproduciblebuilds"
