"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","APIcompliance(version)","Memory","Memory","Fillrate","Memory","APIcompliance(version)","Notes"
"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"MobilityRadeonX1300","January19,2006","M52","RV515","90","PCIex16","350","250","2:4:4:4","1.4","1.4","128+shared","8","DDRDDR2","128","9.0c","2.0",""
"MobilityRadeonX1350","September18,2006","M62","RV515","90","PCIex16","470","350","2:4:4:4","1.88","1.88","128+shared","11.2","DDR2GDDR3","128","9.0c","2.0",""
"MobilityRadeonX1400","January19,2006","M54","RV515","90","PCIex16","445","250","2:4:4:4","1.78","1.78","128+shared","8","DDRDDR2","128","9.0c","2.0",""
"MobilityRadeonX1450","September18,2006","M64","RV515","90","PCIex16","550","450","2:4:4:4","2.2","2.2","128+shared","14.4","DDR2GDDR3","128","9.0c","2.0",""
"MobilityRadeonX1600","February1,2006","M56","RV530","90","PCIex16","425450","375470","5:12:4:4","1.71.8","1.71.8","256","12.015.04","DDR2GDDR3","128","9.0c","2.0",""
"MobilityRadeonX1700","February1,2006","M66","RV535","475","90","5:12:4:4","PCIex16","400550","256","1.9","DDR2GDDR3","1.9","11.217.6","strainedsilicon","128","9.0c","2.0"
"MobilityRadeonX1800","March1,2006","M58","R520","90","PCIex16","450","500","8:12:12:12","256","5.4","5.4","32","GDDR3","256","","9.0c","2.0"
"MobilityRadeonX1800XT","March1,2006","M58","R520","550","650","90","PCIex16","8:16:16:16","8.8","GDDR3","256","","8.8","256","41.6","9.0c","2.0"
"MobilityRadeonX1900","January11,2007","M59","RV570","80","PCIex16","400","480","8:36:12:12","256","GDDR3","256","4.8","4.8","30.72","PowerPlay6.0","9.0c","2.0"
