"","objectmember","objectmember","objectmember","classmember","namespacemember"
"","method","classmember","namespacemember","field","property"
"ABAPObjects","x->method(«parameters»).","x->field","N/A","x=>fieldorx=>method(«parameters»).","N/A"
"C++(STL)","x.method(parameters)orptr->method(parameters)","x.fieldorptr->field","","cls::member","ns::member"
"Objective-C","[xmethod«:parameter«bar:parameter...»»]","x->field","x.property(2.0only)or[xproperty]","[clsmethod«:parameter«bar:parameter...»»]",""
"Smalltalk","xmethod«:parameter«bar:parameter...»»","N/A","","clsmethod«:parameter«bar:parameter...»»",""
"Swift","x.method(parameters)","","x.property","cls.member",""
"APL(Dyalog)","leftargument»x.method«rightargument(s)»","x.field","x.property","cls.member","ns.member"
"C#","x.method(parameters)","x.field","cls.member","ns.member"
"Java","x.method(parameters)","N/A","x.field","cls.member","ns.member"
"D","x.method(parameters)","x.property","x.field","cls.member","ns.member"
"Python","x.property","x.method(parameters)","x.field","cls.member","ns.member"
"VisualBasic.NET","x.property","x.method(parameters)","x.field","cls.member","ns.member"
"Xojo","x.property","x.method(parameters)","x.field","cls.member","ns.member"
"WindowsPowerShell","x.property","x.method(parameters)","[cls]::member","x.field","ns.member"
"F#","x.property","x.method(parameters)","N/A","cls.member","ns.member"
"eC","x.method«(parameters)»","x.field","x.property","cls::member","ns::member"
"Eiffel","x.method«(parameters)»","x.field","","{cls}.member","N/A"
"Ruby","x.method«(parameters)»","N/A","x.property","cls.member","N/A"
"PHP","x->method(parameters)","x->field","x->property","cls::member","ns\member"
"Perl","x->method«(parameters)»","x->{field}","","cls->method«(parameters)»","ns::member"
"Raku","x.method«(parameters)»orx!method«(parameters)»","x.fieldorx!field","","cls.method«(parameters)»orcls!method«(parameters)»","ns::member"
"OCaml","x#method«parameters»","N/A","N/A","",""
"JavaScript","x.method(parameters)x[""method""](parameters)","x.fieldx[""field""]","x.propertyx[""property""]","cls.membercls[""member""]","N/A"
"COBOL","INVOKEx""method""«USINGparameters»«RETURNINGresult»orx::""method""«(«parameters»)»","N/A","propertyOFx","INVOKEcls""method""«USINGparameters»«RETURNINGresult»orcls::""method""«(«parameters»)»orpropertyOFcls","N/A"
"Cobra","x.method«(parameters)»","x.field","x.property","cls.member","ns.member"
