"","English","Sanskrit","Persian"
"Comparative","-er","-tar","-tar"
"Comparative","-er","adhiktar(more)","bêhtar(better)"
"Superlative","-est","-tam","-tar?n"
"Superlative","-est","adhiktam(most)","bêhtar?n(best)"
