"Manufacturer","System(year)","Connectivity","Maximumvideoresolution","Videoformatssupported","Network","USB","Internalmediastorage","Cardreaderslot","Webbrowser","Remotecontrol","Networkfileserver","Networkfileclient"
"Microsoft","XboxSeriesX/S(2020)","HDMI","4K@120fps(XboxSeriesX);1440p@120fps(XboxSeriesS)","Many","802.11a/b/g/n/ac,10/100/1000Ethernet","3xUSB3.1","512GBor1TBSSD","None","Yes","IRremotesoldseparately","Unspecified","DLNA"
"Microsoft","XboxOne(2013)","HDMI,HDMI-in,opticalaudio","1080p;4K@60fps(XboxOneS,XboxOneX)","Many","802.11a/b/g/n/ac,10/100/1000Ethernet","3xUSB3.0","500GBupto2TBharddrive,notuser-upgradeable","None","Yes","IRremotesoldseparately","Unspecified","DLNA"
"Microsoft","Xbox360(2005)","HDMI,componentaudio/video,compositeaudio/video,opticalaudio","1080p","Many","802.11a/b/g/n,10/100/1000Ethernet","3xUSB2.0","4GBupto500GBharddrive,user-upgradeable","None","Yes","IRremotesoldseparately","Unspecified","DLNA"
"Sony","PlayStation5(2020)","HDMI","4K@120fps","Many","802.11a/b/g/n/ac/ax,10/100/1000Ethernet","2xUSB3.1,1xUSB2.0,1xUSB-CwithUSB3.1","825GBSSD,user-upgradeable","None","No","IRremotesoldseparately","N/A","DLNA"
"Sony","PlayStation4(2013)","HDMI,opticalaudio","1080p;4K(PS4Pro)","Many","802.11b/g/n,10/100/1000Ethernet","2xUSB3.0","500GBor1TBharddrive,user-upgradeable","None","Yes","IRremotesoldseparately","None","DLNA"
"Sony","PlayStation3(2006)","HDMI,compositeaudio/video,componentaudio/video,opticalaudio","1080p","Many","802.11a/b/g/n,10/100/1000Ethernet","2xUSB2.0(4xUSB2.0)","12GBupto500GBharddrive,user-upgradeable","Someearlymodelsincludecardreaders,othermodelsdonot.","Yes","Bluetoothremotebuiltintocontroller,IRremotesoldseparately","None","DLNA"
"Nintendo","WiiU(2012)","HDMI,componentaudio/video,compositeaudio/video","1080p","H.264viabrowser","802.11a/b/g/n,10/100Ethernet","4xUSB2.0","8or32GBNANDflash,notuser-upgradeable","SDcard","Yes","IRremotebuiltintoGamePad","None","None"
