"Product","Highlight","Annotate","Metadataedit","Dictionaryonline","Dictionaryoffline","Wikipedialookup","Translate","Share","Gesturecommand","TTSSupport(readaloud)","SupportDRM"
"AldikoBookReader","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes"
"AlReader","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No"
"Bookari","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"CoolReader","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No"
"EBookDroid","?","?","?","?","?","?","?","?","?","?","?"
"EbookReader","Yes","Yes","No","No","No","No","No","Yes","Yes","No","Yes"
"eReaderPrestigio","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"FBReader","No","No","Yes","No","Yes","No","No","Yes","No","Plugin","No"
"iReader","?","?","?","?","?","?","?","?","?","?","?"
"Kindle","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"KoboBooks","Yes","Yes","?","Yes","Yes","Yes","No","Yes","?","?","?"
"KOReader","Yes","No","?","No","Yes","Yes","Yes","?","Yes","No","No"
"LektzeBookReader","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"Librera","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"Moon+reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"MReader","Yes","No","No","No","No","No","No","No","No","No","No"
"PocketBook","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes"
"Snapplify","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes"
"SocioeReader","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No"
"Product","Highlight","Annotate","Metadataedit","Dictionaryonline","Dictionaryoffline","Wikipedialookup","Translate","Share","Gesturecommand","TTSSupport(readaloud)","SupportDRM"
