"Model","Processor/Systemonachip","Memory","Storage","Graphics","Displayresolution","MSRP"
"MacMini","3.2GHz8-coreAppleM1","8GBunified","256GBflash","8-coreGPU","N/A","$699(USD)/$899(CAD)/£699(GBP)/€799(EUR)/$1099(AUD)"
"MacMini","3.0GHz6-core8thgenIntelCorei5withTurboBoostupto4.1GHz","8GB","512GBflash","IntelUHDGraphics630","N/A","$1099(USD)/$1399(CAD)/£1099(GBP)/€1259(EUR)/$1699(AUD)"
"iMac24""","3.2GHz8-coreAppleM1chip","8GBunified","256GBflash","7-coreor8-coreGPU","24inchwith""4.5K""(4480×2520)RetinaDisplaywithP3widecolorgamut","$1299(USD)/$1699(CAD)/£1299(GBP)/€1499(EUR)/$1999(AUD)"
"MacStudio","3.2GHz10-coreAppleM1Maxchip","32GBunified","512GBflash","24-coreGPU","N/A","$1999(USD)/$2499(CAD)/£3999(GBP)/€2299(EUR)/$2099(AUD)"
"MacProTower","3.5GHz8-coreIntelXeonWwithTurboBoostupto4.0GHz","32GBECC","256GBflash","AMDRadeonPro580X","N/A","$5999(USD)/$7499(CAD)/£5499(GBP)/€6499(EUR)/$9999(AUD)"
"MacProRack","3.5GHz8-coreIntelXeonWwithTurboBoostupto4.0GHz","32GBECC","256GBflash","AMDRadeonPro580X","N/A","$6499(USD)/$8129(CAD)/£5999(GBP)/€7199(EUR)/$10749(AUD)"
