"","Client(library)","Server(library)","Versioncompared","Protocol(spec)versionsupport","Protocoltestreport","License","Implementation:language,environment","API:language,environment","Self-hostedserver","Textmessagesupport","Binarymessagesupport","APImessage-based","APIframe-based","APIstreaminginput-output","Flow-controlframework","Automaticpongsforpings","Automaticheartbeatpings","Manualpings-pongs","Framesizelimit"
"QtWebSockets","Yes","Yes","1.012Nov2013","RFC6455","","LGPL","C++,Qt","Qt","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","memory-limited,configurable"
"RingSocket","No","Yes","1.013Sep2019","RFC6455","","MIT","C","C","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","unlimited/configurable"
"Resin","No","Yes","4.02629Feb2012","RFC6455","","GPL,commercial","Java,C","Java","","Yes","Yes","Yes","No","Yes","No","Yes","No","No","memory-limited,configurable"
"WebSocketListener","No","Yes","2.1.324Nov2014","RFC6455","","MIT",".NET,Mono",".NET,Mono","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Configurable"
"Wt","No","Yes","3.2.030Nov2011","0,7,8,13(17)","[?Report]","GPL,commercial","C++,BoostAsio","C++","","Yes","Yes","No","No","No","Yes","Yes","Yes","No","memory-limited,configurable"
"XSockets.NET","Yes","Yes","5.*","RFC6455","","Commercial",".NET","Server-languages:Windows(.NET),Unix-Linux(Mono)Client-languages:JavaScript,.NET,Mono","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","memory-limited,configurable"
"RIWAGateway","Yes","Yes","2.01","RFC6455","","Commercial","Java","Java,Android,iOS,JavaScript","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","memory-limited,configurable"
"µWebSockets","No","Yes","v0.14.028Mar2017","RFC6455","Testreport","ApacheLicense2.0","C++,epoll,Libuv,BoostAsio","C++,JavaScript,Node.js","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","memory-limited,configurable"
"Boost.Beast","Yes","Yes","9430July2017","RFC6455","Testreport","Boost","C++,BoostAsio","C++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","unlimited(packetsstreamedtousercode),permessage-deflatealsounlimited(chunked)"
"libwebsockets","Yes","Yes","2.416Oct2017","RFC6455+RFC7692","Testreport","LGPL2+SLE","C,libuv,libev,libevent,poll,externalpollloopintegration,OpenSSL,mbedTLS","C,HTML5,JavaScript","Yes","Yes","Yes","Yes","Yes","Yes,yes","Yes","Yes","Yes","Yes","unlimited(packetsstreamedtousercode),permessage-deflatealsounlimited(chunked)"
"websocket++","Yes","Yes","0.7.022Feb,2016","RFC6455","","BSD","C++11","C++11","?","?","?","?","?","?","?","?","?","?","?"
"facil.io","Yes","Yes","0.7.118May2019","RFC6455","","MIT","C","C","Yes","Yes","Yes","Yes","Yes","Yes,yes","Yes","Yes","Yes","Yes","configurableclienttoserverlimits.unlimited(chunked)servertoclient."
"oatpp-websocket","Yes","Yes","1.2.027Oct2020","RFC6455","","ApacheLicense2.0","C++11,Oat++","C++11,Oat++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","unlimited(packetsstreamedtousercode)"
