"Name","IPSLAReports","LogicalGrouping","Trending","TrendPrediction","AutoDiscovery","Agentless","SNMP","Syslog","Plugins","Triggers/Alerts","MIBCompiler","WebApp","DistributedMonitoring","Inventory","Platform","DataStorageMethod","License","Maps","AccessControl","IPv6","Latestreleasedate","Latestreleaseversion","IntegrateswithBigPanda"
"Shinken","Viaplugin","Yes","Yes","No","Yes","Yes","Viaplugin","Viaplugin","Yes","Yes","No","Viewing,Acknowledging,Reporting","Yes","Viaplugin","Python","Flatfile,MySQL,Oracle,Graphite,Sqlite,MongoDB","AGPL","Yes","Yes","Yes","2016-03-10","2.4.3","Yes"
"SolarWinds","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","No","FullControl","Yes","Yes",".NET","SQL","Commercial","Yes","Yes","Yes","Unknown","Unknown","Yes"
"Spiceworks","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","PHP","Sqlite","Unknown","Yes","Unknown","Unknown","2018-03-21","7.5.00107","Yes"
"CASpectrum","Yes","Yes","Perf.AddOn","Perf.AddOn","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++,Java,JavaScript","Sleepycat-QSL,MySQL,InfluxDB","Commercial,perDevice","Yes","Yes","Yes","2020-06-29","20.2","Yes"
"Xymon/Hobbit","Yes","Yes","Yes","No","Viaplugin","Viaplugin","Viaplugin","No","Yes","Yes","No","Viewing,Acknowledging,Reporting","Yes","Viaplugin","C,Shell","Flatfile,RRDTool,MySQLviaplugin","GNUGPL","Viaplugin","ApacheACL","No","2019-09-05","4.3.30","Yes"
"VigiloNMS","Yes(NMSandNOCeditions)","Yes","Yes","Yesviaintegration","Yesviaintegration","Yes","Yes","YesviaPreludeSIEM","Yes","Yes","No","Viewing,Acknowledging,Reporting","Yes(NMSandNOCeditions)","YesviaGLPI","Python,Perl","PostgreSQL,RRDtool","Free(GPLv2)OSSedition,CommercialNOC/NMSeditions","Yes(NMSandNOCeditions)","Yes(NMSandNOCeditions)","Viaplugin","2017-09-14","4.1.0","Yes"
"Zabbix","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","FullControl","Yes","Yes","C,PHP","Oracle,MySQL,PostgreSQL,IBMDB2,SQLite","GNUGPL","Yes","Yes","Yes","2022-03-01","6.0.1","Yes"
"ZenossCore","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","FullControl","Yes","Yes","Python,Java","ZODB,MariaDB,ApacheHBase","FreeCoreGPL,CommercialEnterprise","Yes","Yes","Yes","2018-01-09","6.1.0","Yes"
"ZIS-System","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","FullControl","Yes","Yes","Windows","MariaDB","Commercial","Yes","Yes","Yes","2020-02-01","5.8","Yes"
"Name","IPSLAReports","LogicalGrouping","Trending","TrendPrediction","AutoDiscovery","Agentless","SNMP","Syslog","Plugins","Triggers/Alerts","MIBCompiler","WebApp","DistributedMonitoring","Inventory","Platform","DataStorageMethod","License","Maps","AccessControl","IPv6","Latestreleasedate","Latestreleaseversion","IntegrateswithBigPanda"
