"Application","CPUrendering","GPUrendering","GPUrendering","GPUrendering","GPUrendering","GPUrendering","GPUrendering"
"Application","CPUrendering","OpenCL","NVIDIACUDA/OptiX","AMDHIP","SYCL/IntelDPC++","AppleMetal","TextureStreaming(Out-of-Core)"
"V-Ray","Yes","V-RayGPU(formerlyV-RayRT)","V-RayGPU(formerlyV-RayRT)","No","No","No","Yes"
"RenderMan","Yes","No","24andlater","No","No","No","?"
"Arnold","Yes","No","Yes","No","No","No","Yes"
"Redshift","No","No","Yes","No","No","Yes","?"
"ModomPath","Yes","No","Yes","No","No","No","?"
"HoudiniKarma","Yes","No","19andlater","No","No","No","No"
"BlenderCycles","Yes","droppedin3.0","Yes","3.0andlater","No","3.1andlater","2.80andlater"
