"Product","Theme","Day-nightmode","Brightnesscontrol","Adjusttodisplaysize","Indentparagraph","Trimextrablankspaces","Enable-disableCSS","Customizetextalignment","Customizefontscale","Customizelinespace","Customizecolor","Customizetransparent","Fadingedge","Simulaterealpageflip","Imageviewwithzoom/pan"
"AldikoBookReader","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"AlReader","?","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","?","?","Yes","?"
"Bookari","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?"
"CoolReader","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?"
"EBookDroid","?","Yes","?","?","?","Yes","?","?","?","?","?","?","?","?","?"
"EbookReader","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","Yes(PDFonly)"
"eReaderPrestigio","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FBReader","Yes","Yes","Yes","Yes","Yes","Yes","Noenable/disableCCS»YES","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"GooglePlayBooks","?","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","?","?","Yes","?","?"
"iReader","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","Yes","?","?","Yes","No"
"Kindle","?","Yes","Yes","?","?","?","?","?","Yes","Yes","?","?","?","?","?"
"KoboBooks","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","?"
"KOReader","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","?","Yes"
"LektzeBookReader","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","?"
"Librera","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Moon+reader","10+","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MReader","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"OverDriveMediaConsole","Yes","Yes","Yes","Yes","?","?","?","?","Yes","Yes","Yes","?","?","No","Yes"
"PocketBook","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","?","Yes","Yes"
"Snapplify","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SocioeReader","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","?"
"Product","Theme","Day-nightmode","Brightnesscontrol","Adjusttodisplaysize","Indentparagraph","Trimextrablankspaces","Enable-disableCSS","Customizetextalignment","Customizefontscale","Customizelinespace","Customizecolor","Customizetransparent","Fadingedge","Simulaterealpageflip","Imageviewwithzoom/pan"
