"Booleanobject","MSHTML","Gecko","WebKit","Presto","Blink"
"Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction"
"Boolean([value])","Yes","Yes","Yes","Yes","Yes"
"Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor"
"newBoolean([value])","3.0","Yes","Yes","Yes","Yes"
"Properties","Properties","Properties","Properties","Properties","Properties"
"prototype","4.0","Yes","Yes","Yes","Yes"
"Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype"
"constructor","4.0","Yes","Yes","Yes","Yes"
"toString()","4.0","Yes","Yes","Yes","Yes"
"valueOf()","4.0","Yes","Yes","Yes","Yes"
