"Definition","rfind(string,substring)returnsinteger"
"Description","Returnsthepositionofthestartofthelastoccurrenceofsubstringinstring.Ifthesubstringisnotfoundmostoftheseroutinesreturnaninvalidindexvalue–-1whereindexesare0-based,0wheretheyare1-based–orsomevaluetobeinterpretedasBooleanFALSE."
"Related","instr"
