"Forget","Danish","Bokmål","Nynorsk","Swedish"
"infinitive","glemme","glemme/glømme","gløyme/gløyma","glömma"
"present","glemmer","glemmer/glømmer","gløymer","glömmer"
"past","glemte","glemte/glømte","gløymde","glömde"
"perfect/pluperfect","har/havdeglemt","har/haddeglemt/glømt","har/haddegløymt","har/hadeglömt"
"pastparticiple(passive)","glemtglemte","glemt/glømtglemte/glømte","gløymd/gløymtgløymtgløymde","glömdglömtglömda"
"presentparticiple","glemmende","glemmende/glømmende","gløymande","glömmande"
"imperative","glem","glem/gløm","gløym","glöm"
