"","while","dowhile","fori=firsttolast","foreach"
"S-Lang","while(condition){instructions}«thenoptional-block»","do{instructions}while(condition)«thenoptional-block»","for(i=first;i<=last;i++){instructions}«thenoptional-block»","foreachitem(set)«using(what)»{instructions}«thenoptional-block»"
"Fortran","DOWHILE(condition)instructionsENDDO","DOinstructionsIF(condition)EXITENDDO","DOI=first,lastinstructionsENDDO","N/A"
"Forth","BEGIN« instructions »conditionWHILEinstructionsREPEAT","BEGINinstructionsconditionUNTIL","limitstartDOinstructionsLOOP","N/A"
"OCaml","whileconditiondoinstructionsdone","N/A","fori=firsttolastdoinstructionsdone","Array.iter(funitem->instructions)arrayorList.iter(funitem->instructions)list"
"F#","whileconditiondoTab?instructions","N/A","fori=firsttolastdoTab?instructions","foriteminsetdoTab?instructionsorSeq.iter(funitem->instructions)set"
"StandardML","whileconditiondo(instructions)","N/A","N/A","Array.app(fnitem=>instructions)arrayorapp(fnitem=>instructions)list"
"Haskell(GHC)","N/A","N/A","Control.Monad.forM_[first..last](\i->doinstructions)","Control.Monad.forM_list(\item->doinstructions)"
"Eiffel","fromsetupuntilconditionloopinstructionsend","fromsetupuntilconditionloopinstructionsend","fromsetupuntilconditionloopinstructionsend","fromsetupuntilconditionloopinstructionsend"
"CoffeeScript","whileconditionexpressionorexpressionwhileconditionorwhileconditionthenexpressionoruntilconditionexpressionorexpressionuntilconditionoruntilexpressionthencondition","N/A","foriin[first..last]expressionorforiin[first..last]thenexpressionorexpressionforiin[first..last]","foriteminsetexpressionorforiteminsetthenexpressionorexpressionforiteminset"
"COBOL","PERFORMprocedure-1«THROUGHprocedure-2»««WITH»TESTBEFORE»UNTILconditionorPERFORM««WITH»TESTBEFORE»UNTILconditionexpressionEND-PERFORM","PERFORMprocedure-1«THROUGHprocedure-2»«WITH»TESTAFTERUNTILconditionorPERFORM«WITH»TESTAFTERUNTILconditionexpressionEND-PERFORM","PERFORMprocedure-1«THROUGHprocedure-2»VARYINGiFROMfirstBYincrementUNTILi>lastorPERFORMVARYINGiFROMfirstBYincrementUNTILi>lastexpressionEND-PERFORM","N/A"
"Rust","whilecondition{expression}","loop{expressionifcondition{break;}}","foriinfirst..last+1{expression}orforiinfirst..=last{expression}","foriteminset{expression}orset.into_iter().for_each(|item|expression);"
