"Ido","IPA","Interlingua"
"A,a","a","A,a"
"B,b","b","B,b"
"C,c","ts","C,cbeforee,i,ory"
"Ch,ch","t?","Ch,ch"
"D,d","d","D,d"
"E,e","eor?","E,e"
"F,f","f","F,f;Ph,ph"
"G,g","g","G,g"
"H,h","h","H,h"
"I,i","i","I,i"
"J,j","?","J,j"
"K,k","k","C,c;Ch,chQ,q;K,k(Q,qalmostalwaysappearsbeforeU,u)"
"L,l","l","L,l"
"M,m","m","M,m"
"N,n","n","N,n"
"O,o","oor?","O,o"
"P,p","p","P,p"
"Qu,qu","kworkv","Qu,qu"
"R,r","r","R,r"
"S,s","s","S,s;optionallyC,cbeforei,e,y"
"Sh,sh","?","Ch,ch;Sh,sh(Sh,shisrare)"
"T,t","t","T,t;Th,th"
"U,u","u","U,u"
"V,v","v","V,v"
"W,w;U,u(beforeavowel)","w","U,u;W,w(W,wisrare)"
"X,x","ksorgz","X,x"
"Y,y;I,i(beforeavowel)","j","I,i;Y,y"
"Z,z","z","Z,z;S,s"
