"Graphics","Launch","Market","Processor","Codename","DeviceID","Coreclock(MHz)","Coreconfig","APIsupport","APIsupport","APIsupport","APIsupport","Memorybandwidth(GB/s)","DVMT(MB)","QSV"
"Graphics","Launch","Market","Processor","Codename","DeviceID","Coreclock(MHz)","Coreconfig","Direct3D","Memorybandwidth(GB/s)","DVMT(MB)","QSV","OpenGL","OpenCL","Vulkan"
"Mobile","HDGraphics","2013","Celeron29xxUPentium35xxU","200–1000","Haswell","04020406040A040B040EULT:0A020A060A0A0A0B0A0E","80:10:1(GT1)","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048","Yes"
"Mobile","HDGraphics","2013","Celeron29xxYPentium35xxY","200–850","Haswell","04020406040A040B040EULT:0A020A060A0A0A0B0A0E","80:10:1(GT1)","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048","Yes"
"HDGraphics4200","2013","ULTMobile","Corei3-40xxYCorei5-4xxxYCorei7-4610Y","Haswell","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","200–850","160:20:2(GT2)","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048","Yes"
"HDGraphics4400","2013","Desktop","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Corei3-4130Corei3-4150Corei3-4160Corei3-4170","160:20:2(GT2)","Yes","Haswell","350–1150","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics4400","Desktop","Corei3-4130TCorei3-4150TCorei3-4160TCorei3-4170T","2013","200–1150","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics4400","Mobile","2013","Corei3-4005UCorei3-4025U","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","200–950","160:20:2(GT2)","Yes","Haswell","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"Mobile","HDGraphics4400","Corei3-4010UCorei3-4100UCorei5-4200UCorei3-4030UCorei3-4120U","2013","200–1000","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"Mobile","HDGraphics4400","Corei5-4300UCorei7-4500UCorei7-4600U","2013","200–1100","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics4600","2013","Desktop","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Corei3-4330Corei3-4340Corei5-4570Corei5-4570SCorei5-4590Corei5-4590SCorei5-4590T","160:20:2(GT2)","Yes","Haswell","350-1150","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics4600","Desktop","Corei3-4330TCorei5-4570T","2013","200-1150","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics4600","Desktop","Corei5-4430Corei5-4430SCorei5-4440Corei5-4440S","2013","350–1100","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics4600","Desktop","Corei5-4670Corei5-4670KCorei5-4670SCorei5-4670TCorei5-4690Corei5-4690KCorei5-4690SCorei5-4690TCorei7-4765TCorei7-4770Corei7-4770SCorei7-4770TCorei7-4771Corei7-4790","2013","350–1200","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics4600","Desktop","Corei7-4770KCorei7-4790K","2013","350–1250","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"HDGraphics4600","Mobile","2013","Corei3-4xxxECorei5-4402E","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","400–900","160:20:2(GT2)","Yes","Haswell","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"Mobile","HDGraphics4600","Corei3-4xxxM","2013","400–1100","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"Mobile","HDGraphics4600","Corei5-4200MCorei5-4200HCorei7-47xxMQCorei7-4702HQ","2013","400–1150","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
"Mobile","HDGraphics4600","Corei5-43xxM","2013","400–1250","04120416041A041B041EULT:0A120A160A1A0A1B0A1E","Haswell","160:20:2(GT2)","Yes","12FL11_1","4.34.14.5ES3.1","1.2","1.0","25.6","2048"
