"NativeErrorobject","MSHTML","Gecko","WebKit","Presto"
"Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction"
"EvalError(message)","?","1.0","Yes","?"
"RangeError(message)","?","1.0","Yes","?"
"ReferenceError(message)","?","1.0","Yes","?"
"SyntaxError(message)","?","1.0","Yes","?"
"TypeError(message)","?","1.0","Yes","?"
"URIError(message)","?","1.0","Yes","?"
"Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor"
"newEvalError(message)","?","1.0","Yes","?"
"newRangeError(message)","?","1.0","Yes","?"
"newReferenceError(message)","?","1.0","Yes","?"
"newSyntaxError(message)","?","1.0","Yes","?"
"newTypeError(message)","?","1.0","Yes","?"
"newURIError(message)","?","1.0","Yes","?"
"Properties","Properties","Properties","Properties","Properties"
"prototype","?","1.0","?","?"
"Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype"
"constructor","?","1.0","?","?"
"name","?","1.0","Yes","?"
"message","?","1.0","Yes","?"
