"Name","Developer","Status","Firstrelease","Latestrelease","Currentversion","Basedon","License","Sourceavailable"
"AbsoluteTelnet","CelestialSoftware(BrianPence)","Active","1996","2016-10-12","10.16","","Proprietary","No"
"BitviseSSHClient","BitviseLimited","Active","2001","2020-05-22","8.43","","Proprietary","No"
"ConnectBot","KennyRoot/JeffreySharkey","Active","2007-11","2019-11-12","1.9.6","TrileadSSH-2forJava","Apache-2.0","Yes"
"Dropbear","MattJohnston","Active","2003-04-06","2020-06-26","2020.80","","MIT","Yes"
"eSSHClient","EcodeSoftware","Inactive","2002-07","","","","Proprietary","No"
"lsh","NielsMöller","Active","1999-05-23","2013-06-26","2.1","","GPL-2.0-or-later","Yes"
"OpenSSH(OpenBSDSecureShell)","TheOpenBSDproject","Active","1999-12-01","2021-03-03","8.5","ossh","BSD","Yes"
"PuTTY","SimonTatham","Active","1999-01-22","2021-07-17","0.76","","MIT","Yes"
"SecureCRT","VanDykeSoftware","Active","1998-06","2021-11-23","9.1.1","","Proprietary","No"
"TeraTerm","TeraTermProject","Active","2004","2018-08-31","4.100","TeraTermPro2.3(1994–1998)","BSD","Yes"
"TN3270Plus","SDIUSA,Inc.","Active","2006","","","","Proprietary","No"
"TtyEmulator","FCSSoftware","Active","2002-05","2020-01-05","4.4.6.1","","Proprietary","No"
"wolfSSH","wolfSSL","Active","2016-07-20","2021-11-04","1.4.8","wolfCrypt","GPL-3.0-or-later(orproprietary)","Yes"
"ZOCTerminal","EmTec,InnovativeSoftware","Active","1995-07-01","2022-01-19","8.03.4","","Proprietary","No"
