"Errorobject","MSHTML","Gecko","WebKit","Presto"
"Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction","Calledasfunction"
"Error(message)","?","?","?","?"
"Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor","Calledasconstructor"
"newError(message)","5.0","1.0","Yes","1.0"
"Properties","Properties","Properties","Properties","Properties"
"prototype","5.0","1.0","Yes","1.0"
"Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype","Propertiesofprototype"
"constructor","5.0","1.0","Yes","1.0"
"name","5.5","1.0","Yes","1.0"
"message","5.5","1.0","Yes","1.0"
"toString()","5.0","1.0","Yes","1.0"
