"Name","Rectilinearlenses(i.e.normalcameralenses)","Fisheyelenses","Partialorfull(spherical)panoramasorimagesfrompanoramiccameras","Differentfocallengthsinsinglepanorama","Differentlenstypesinsinglepanorama","Perspectivecorrectionlenses","Other/Notes"
"PanoweaverStandard/Professional","Yes","Yes","Yes","Yes","Yes","Yes",""
"i2AlignQuickageExpress/Pro","Yes","No","No","?","?","No",""
"PixtraPanoStitcher","Yes","No","No","Yes","No","No",""
"PixtraOmniStitcher","Yes","Yes","No","Yes","No","No",""
"QuickPHOTO","No","No","No","No","No","No","PROMICAMmicroscopecameraneeded"
"PhotoFitHarmony/Premium","Yes","No","No","No","No","No",""
"PanoramaPlusX4","Yes","No","No","No","No","No",""
"PanoramaBuilder7.0/PanoramaBuilder7.0Pro","Yes","No","No","No","No","No",""
"360PanoramaProfessional","Yes","No","No","No","No","No",""
"VRstitcherFisheyePro","Yes","Yes","No","No","No","No",""
"COOL360","Yes","No","No","No","No","No",""
"PanaVueImageAssemblerStd./Pro./Ent.","Yes","Yes*","No","No","No","?","*)Circularfisheyesnotsupported,diagonalfisheyesupto180degreefieldofview."
"ThePanoramaFactoryv5","Yes","No","No","No","No",""
"PixMakerLite/Home/Business","Yes","No","No","No","No","No",""
"PTAssembler","Yes","Yes","Yes","Yes","Yes","Yes",""
"PTgui/PTguiPro","Yes","Yes","Yes","Yes","Yes","Yes",""
"AutopanoPro/Giga/Server","Yes","Yes","No","Yes","Yes","Yes","Alsosupportsmotorizedpanoramicheads,inGiga&Proversions."
"Autostitch","Yes","?","No","No","Yes","?",""
"CalicoPanorama","Yes","No","No","No","No","No",""
"Hugin","Yes","Yes*","Yes","Yes","Yes","Yes","*Asofv2010.2onwards,allknownfisheyeprojectionsaresupported(equisolid,orthographic,stereographic)"
"3DVistaStitcher3.0","Yes","Yes","No","No","No","No","""Oneshot""i.e.panoramicmirrorlensesalsosupported."
"DJoiner","Yes","No","No","No","No","No",""
"PanoramaMaker6","Yes","No","No","No","No","No",""
"PhotovistaPanorama","Yes","No","No","No","No","No",""
"PanoramaStudio/Pro","Yes","No","No","No","No","No",""
"StitcherUnlimited2009","Yes","Yes","Yes","?","?","No",""
"ADGPanoramaTools/Pro","Yes","No","Yes*","No","No","No","*)Cylindricalonly"
"PanoramaComposer3","Yes","No","No","No","No","No",""
"ImageCompositeEditor","Yes","No","No","No","No","No",""
"PanoramaPerfect","Yes","No","No","No","No","No",""
"Photoshop","Yes","No","No","No","No","No",""
"AIPRLite1","Yes","No","No","Yes","Yes","Yes*","(*)homographicmodelcompensatesforthesetypeoflenses"
"GigapanStitch1.0","Yes","No","Yes","No","No","No",""
"PanoramaMaker","Yes","?","?","Yes","?","?",""
"PanoEdit","Yes","No","No","No","No","?"
"SharpStitch","Yes","No","No","No","No","No",""
"Name","Rectilinearlenses(i.e.normalcameralenses)","Fisheyelenses","Partialorfull(spherical)panoramasorimagesfrompanoramiccameras","Differentfocallengthsinsinglepanorama","Differentlenstypesinsinglepanorama","Perspectivecorrectionlenses","Other/Notes"
