"","NativeUTF-16support","NativeUTF-8support","Multi-linematching","Partialmatch"
"Boost.Regex","No","No","Yes","Yes"
"GLib/GRegex","Yes","Yes","Yes","Yes"
"RXP","Yes","Yes","No","Yes"
"ICURegex","Yes","No","Yes","?"
"Java","No","Partial","Yes","Yes"
".NET","No","Yes","Yes","?"
"PCRE","Yes","Yes","Yes","Yes"
"Qt/QRegExp","Yes","No","No","?"
"Tcl","Yes","Yes","Yes","?"
"TRE","Yes","Yes","Yes","?"
"RGX","No","No","Yes","?"
"wxWidgets::wxRegEx","Yes","Yes","Yes","?"
"XRegExp","Yes","?","Yes","?"
