"","Creator","Released","Latestversion","Listprice(USD)","License","SupportedOS(withoutemulation)"
"CorelDRAW","Corel","1989","2020","$449,$169upgrade","Proprietary","Windows"
"EasyTrace","EasyTraceGroup","2015","12.0","960€,480€upgrade,Version7.99and8.65free","Proprietary","Windows"
"AdobeIllustrator","AdobeSystems","1985","24.1.0(CC2020)","$19.99permonth","Proprietary","Windows,macOS"
"GraphicTracerProfessional","GraphicPowers.com","2016","release5","$15permonth/$120peryear","Proprietary","Windows,macOSduefall2017"
"Inkscape(usingPotrace)","Inkscape.org","2003","0.92.51.02","free","GPL","Windows,macOS,Linux"
"ImageTracer","AndrásJankovics","2015","1.2.6(2020)","free","Publicdomain","Cross-platform,JavaScriptorJavabased"
"Potrace","PeterSelinger","2001","1.16(Sep.2019)","free","GPL","Cross-platform,WindowsandPOSIX"
"Scan2CAD","AviaSystems","1997","v10.4","$49-$149/month","Proprietary","Windows,macOS"
"WinTopoFreeware","SoftSoftLtd","1999","2015(v1.76)","free","Freeware","Windows"
"WinTopoPro","SoftSoftLtd","2000","2015(v3.6)","$299","Proprietary","Windows"
"XaraPhoto&GraphicDesigner","XaraGroupLtd.","1994","2018(v16)","$89.99","Proprietary","Windows"
"SuperVectorizer","EffectmatrixLtd.","2013","2016(v1.6.6)","$29.99","Proprietary","macOS"
"AutoTrace","MartinWeber","1998","2002(v0.31.1)","free","GPL","Cross-platform,POSIX(mainlyUnix-like)"
"","Creator","Released","Latestversion","Listprice(USD)","License","SupportedOS(withoutemulation)"
