"Country","Engine","Thrust(vac.)","Stage","Cycle","Active","Status"
"Japan","LE-5cryogenicengine","LE-5—102.9kN(23,100lbf)----------LE-5A—121.5kN(27,300lbf)----------LE-5B—144.9kN(32,600lbf)","Upperstage","5—Gasgenerator5Aand5B—Expander","1986—present","Inservice"
"Japan","LE-7cryogenicengine","LE-7—1,078kN(242,000lbf)----------LE-7A—1,074kN(241,000lbf)","Booster","Stagedcombustion","1994—present","Inservice"
"China","YF-73cryogenicengine","44.15kN(9,930lbf)","Upperstage","Gasgenerator","1987–2000","Retired"
"China","YF-75cryogenicengine","78.45kN(17,640lbf)","Upperstage","Gasgenerator","1994—present","Inservice"
"China","YF-75Dcryogenicengine","88.36kN(19,860lbf)","Upperstage","Expander","2016—present","Inservice"
"China","YF-77cryogenicengine","700kN(160,000lbf)","Booster","Gasgenerator","2016—present","Inservice"
"China","YF-79cryogenicengine","243.3kN(54,700lbf)","Upperstage","Expander","~2028","Inservice"
"China","YF-90cryogenicengine","2,200kN(490,000lbf)","Upperstage","Stagedcombustion","~2028","Underdevelopment"
"China","YF-100semi-cryogenicengine","1,340kN(300,000lbf)","Booster","Stagedcombustion","2015—present","Inservice"
"China","YF-115semi-cryogenicengine","180kN(40,000lbf)","Upperstage","Stagedcombustion","2015—present","Inservice"
"China","YF-130semi-cryogenicengine","4,800kN(1,100,000lbf)(SL.)","Booster","Stagedcombustion","~2028","Underdevelopment"
"India","CE-7.5cryogenicengine","73.5kN(16,500lbf)","Upperstage","Stagedcombustion","2014—present","Inservice"
"India","CE-20cryogenicengine","200kN(45,000lbf)","Upperstage","Gas-generator","2017—present","Inservice"
"India","SCE-200semi-cryogenicengine","2,030kN(460,000lbf)","Booster","Stagedcombustion","After2022","Underdevelopment"
