"Program","search(criteria)","selection(styles)","metadata","adjustimage(functions)","hotkeys","colormanagement(ICC)","JPEGLosslessoperations","Unicodesupport","other/special"
"ACDSee","Yes","Yesindividual,linear,block","YesExif,IPTC","Yesmany","Yes","Yes","Yesrotationonly","Yes","GPSLocation,Scriptsforbatch/preprocessing,automaticslideshow"
"CDisplay","No","No","Yes","YesRotate,Filter","Yesconfigurable","Yes","No","No","Slider,automaticslideshow,mousecontrol"
"digiKam","Yesfilename,comments,mostExifandmetadata","Yeslinear,block,complex","YesExifandIPTC","Yesmanyeditingfunction","Yes","Yes","YesbychangingEXIForientationandnotineditor","Yes","Geotagging,batchprocessing,detectduplicate/similarimages,exporttoInternet/socialmedia/HTML"
"Eyeofgnome","No","No","Yes","YesRotate","Yesunconfigurable","","Yes","",""
"F-Spot","","","Yes","","","","","","ExporttoHTML,Flickr,orO.r.i.g.i.n.a.l."
"FastPictureViewer","YesFiltertheviewbyrating,filename...","YesCopy,move,delete,rate,label","YesWriteXMPRating/Label,IPTCmetadata,WindowsRating,embeddedorinsidecarfiles,showsshootinginfo(Exif)andrealtimeRGBhistogram","No","Yes","Yes(supportscustommonitorprofile,directconversionfromimagecolorspacetomonitorcolorspace,ICCv4)","n/a","Yes,native","Native32and64-bit,Tetheredshooting(MTP/PTPoverUSB),Multicore-aware,DirectXaccelerated,HDPhoto/JPEGXRsupport."
"Gonvisor","No","YesDelete,rename","No","Yes","Yes","Yes","n/a","Yes,native","MadetoeasilyreadcomicsormangacandisplaytwopagesattimeandviewimagesincompressedZIP,RAR,7z,cbr,cba,cbzetc."
"FastStoneImageViewer","","Yesindividual,linear","YesEXIF,JPEGcomment","Yesmany","Yes","","Yeslosslesstransitions","Yes","fullscreenmodewithallcommandsavailableviapop-upmenubarswhenapproachingthemousefromthebordersofthescreen"
"Geeqie","Yescollections,keywords,filename,location,size,date,dimensions,comments,previousresults","Yesblock,linear,complex","Yes","Yesrotate,brightness,contrast","Yes","Yes","","","findduplicates,sortmanager,recentcollections"
"gThumb","Yesname,comment,date,category,folder,recursive-folder","Yeslinear,block,complex","Partial","Yesmanipulatecolor,flip/rotate,etc.","Yes","","Yes","","bookmarks,comments,renameseries,createindeximage,createHTMLalbum"
"Gwenview","Yestags","","YesExif,IPTC,XMP","YesRotate,Redeyeremoval,saturation,colorbalance,levelsandmore","Yes","","Yes,rotationandflipping","Yes","batchprocessing,exporttoInternet/socialmedia/HTML"
"KPhotoAlbum","Yeskeywords,comments,title,anyfieldfromExifmetadata","Yeslinear,complex","Partial","YesperKIPIplugins","Yesconfigurable","","","","Quick-taggingusingkeyboardtokens"
"PhaseOneMediaPro","Yesname,date,rating,filesize,andmanymore.","Yesindividual,linear","YesEXIF,IPTC,andcustomkeywords","YesRotate,Redeyeremoval,saturation,colorbalance,levelsandmore","Yes","Yes","","Yes","Findduplicates,hierarchicalkeywords,distributablecatalogwithfreeMediaProreader,offlinebrowsingofimages"
"Picasa","Yesname,date,rating,faces","Yesindividual,linear","PartialKeywords","Partialbasic","Yes","Yes","Yesrotationonly","Yes","collages,Geotagging,SearchforFaces,findduplicates"
"Shotwell","No","Yesindividual,linear,hide","YesReadIPTC,Exif,XMP","YesExposure,Saturation,Tint,Shadows,Temperature,andmore","Yes","No","No","Yes","Non-destructiveeditor,AutoEnhanceImages,Duplicate,Upload,Favorite"
"STDUViewer","No","No","No","No","Yes","No","No","Yes",""
"WindowsPhotoViewer","No","No","Yes:Exif","Yesrotate,losslessJPEGrotate,annotateTIFFimages","Yes","","Yesrotateonly","Yes",""
"XnViewandXnViewMP","Yesname,date,filesize,imagesize,metadata,...","Yesindividual,linear","YesIPTC,Exif,JPEGcomment","Yesmany","Yesconfigurable","YesCustommonitorprofilesupported","Yes","PartialSupportedinXnViewMP","SupportsAdobePhotoshopFilter8BFplugins"
"xv","No","Partialindividual,all","Partialviewcomments","Yesmany","Yes","","","",""
"ZonerPhotoStudio","Yesname,date,filesize,metadata","Yesindividual,linear","YesIPTC,Exif,XMP,JPEGcomment","Yesverymany","Yesconfigurable","Yes","Yes","Yes","signimages,16bitsperchannel,GPSsupport,mergepicturestoHDR,WICcodecssupport"
"Program","search(criteria)","selection(styles)","metadata","adjustimage(functions)","hotkeys","colormanagement(ICC)","JPEGLosslessoperations","Unicodesupport","other/special"
