"Model","Launch","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MiB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"RadeonVE/Radeon7000","Feb19,2001","RV100(piglet)","180","AGP4x,PCI","183","183","1:0:3:1","183","336","549","0","32,64","2.688","DDR","64"
"RadeonLE/Radeon7100(OEM)","May1,2001","Rage6/R100","180","AGP4x","150","150","2:1:6:2","296","296","888","37.5","32","4.736","DDR","128"
"RadeonSDR/Radeon7200(SDR)","June1,2000","Rage6/R100","AGP4x,PCI","180","166","2:1:6:2","166","333","333","996","32","41.5","128","2.656","SDR"
"RadeonDDR/Radeon7200(DDR)","April1,2000","Rage6/R100","AGP4x","180","166/183","2:1:6:2","166/183","333/366","333/366","966/1098","41.5/45.75","32,64","128","5.312/5.856","DDR"
"RadeonDDR/Radeon7200VIVO","2001","Rage6/R100","AGP4x,PCI","180","166/183","2:1:6:2","166/183","333/366","333/366","966/1098","DDR","41.5/45.75","64","128","5.312/5.856"
"RadeonDDR/Radeon7500VIVO""SE""","2001","AGP4x,PCI","200","Rage6/R100","200","180","400","2:1:6:2","64","400","1200","50.0","6.400","DDR","128"
"Radeon7500LE","","AGP4x,PCI","RV200(morpheus)","150","250","175","2:1:6:2","500","500","1500","62.5","DDR","32,64","5.600","64128"
"Radeon7500","Aug14,2001","AGP4x,PCI","150","RV200(morpheus)","290","230","580","2:1:6:2","580","1740","72.5","32,64,128","DDR","7.360","128"
