"","stringtointeger","stringtolonginteger","stringtofloatingpoint","integertostring","floatingpointtostring"
"Ada","Integer'Value(string_expression)","Long_Integer'Value(string_expression)","Float'Value(string_expression)","Integer'Image(integer_expression)","Float'Image(float_expression)"
"ALGOL68withgeneral,andthenspecificformats","Withpriordeclarationsandassociationof:stringbuf:=""12345678.9012e34"";fileproxy;associate(proxy,buf);","Withpriordeclarationsandassociationof:stringbuf:=""12345678.9012e34"";fileproxy;associate(proxy,buf);","Withpriordeclarationsandassociationof:stringbuf:=""12345678.9012e34"";fileproxy;associate(proxy,buf);","Withpriordeclarationsandassociationof:stringbuf:=""12345678.9012e34"";fileproxy;associate(proxy,buf);","Withpriordeclarationsandassociationof:stringbuf:=""12345678.9012e34"";fileproxy;associate(proxy,buf);"
"ALGOL68withgeneral,andthenspecificformats","get(proxy,ivar);","get(proxy,livar);","get(proxy,rvar);","put(proxy,ival);","put(proxy,rval);"
"ALGOL68withgeneral,andthenspecificformats","getf(proxy,($g$,ivar));orgetf(proxy,($dddd$,ivar));","getf(proxy,($g$,livar));orgetf(proxy,($8d$,livar));","getf(proxy,($g$,rvar));orgetf(proxy,($8d.4dE2d$,rvar));","putf(proxy,($g$,ival));orputf(proxy,($4d$,ival));","putf(proxy,($g(width,places,exp)$,rval));orputf(proxy,($8d.4dE2d$,rval));"
"APL","?string_expression","?string_expression","?string_expression","?integer_expression","?float_expression"
"C(C99)","integer=atoi(string);","long=atol(string);","float=atof(string);","sprintf(string,""%i"",integer);","sprintf(string,""%f"",float);"
"Objective-C","integer=[stringintValue];","long=[stringlongLongValue];","float=[stringdoubleValue];","string=[NSStringstringWithFormat:@""%i"",integer];","string=[NSStringstringWithFormat:@""%f"",float];"
"C++(STL)","«std::»istringstream(string)>>number;","«std::»ostringstreamo;o<<number;string=o.str();","«std::»istringstream(string)>>number;","«std::»istringstream(string)>>number;","«std::»ostringstreamo;o<<number;string=o.str();"
"C++11","integer=«std::»stoi(string);","long=«std::»stol(string);","float=«std::»stof(string);double=«std::»stod(string);","string=«std::»to_string(number);","string=«std::»to_string(number);"
"C#","integer=int.Parse(string);","long=long.Parse(string);","float=float.Parse(string);double=double.Parse(string);","string=number.ToString();","string=number.ToString();"
"D","integer=std.conv.to!int(string)","long=std.conv.to!long(string)","float=std.conv.to!float(string)double=std.conv.to!double(string)","string=std.conv.to!string(number)","string=std.conv.to!string(number)"
"Java","integer=Integer.parseInt(string);","long=Long.parseLong(string);","float=Float.parseFloat(string);double=Double.parseDouble(string);","string=Integer.toString(integer);string=String.valueOf(integer);","string=Float.toString(float);string=Double.toString(double);"
"JavaScript","integer=parseInt(string);","integer=parseInt(string);","string=number.toString();string=String(number);string=number+"""";string=`${number}`","float=parseFloat(string);float=newNumber(string);float=Number(string);float=+string;","string=number.toString();string=String(number);string=number+"""";string=`${number}`"
