"Name","MicrosoftOffice(.doc,.xls...)","OfficeOpenXML(.docx,.xlsx...)","OpenDocument(.odt,.ods...)","PortableDocumentFormat(pdf)"
"AbilityOffice","Yes","Yes","Yes","Export"
"ApacheOpenOffice","Yes","Import-only","Nativeformat","ExportandImportwithplugin"
"Discontinued-BreadboxOffice","No","No","No","No"
"CalligraSuite","Import","Import","Nativeformat","Export"
"CollaboraOnline","Yes","Yes","Nativeformat","Yes"
"ConceptDrawOffice","No","Export","No","Export"
"FengOfficeCommunityEdition","No","No","No","No"
"GNUTeXmacs","No","No","No","Export"
"Discontinued-GobeProductive","Yes","No","No","No"
"GoogleWorkspace","Yes","Yes","Yes","Yes"
"HancomOffice","Yes","Yes","Yes","Yes"
"IBMLotusSymphony","?","?","?","?"
"iWork","Yes","Import","No","Export"
"KOffice","Import","Import","Nativeformat","Export"
"LibreOffice","Yes","Yes","Nativeformat","Yes"
"LotusSmartSuite","Yes","No","No","No"
"MicrosoftOffice","Partial","Yes","Partial","Yes"
"MicrosoftWorks","Yes","Yes","No","No"
"NeoOffice","Yes","Yes","Yes","Importwithplugin"
"OfficeSuite","Yes","Yes","Yes","Yes"
"OnlyOffice","Yes","Yes","Yes","Yes"
"OpenOffice.org","?","?","?","?"
"PolarisOffice","?","?","?","?"
"SiagOffice","?","?","?","?"
"SoftMakerOffice","Yes","Yes","Yes","Yes"
"StarOffice","Yes","Withplugins","Nativeformat","Importwithplugin"
"TikiWikiCMSGroupware","search","search","search","Exportandsearch"
"WordPerfectOffice","Yes","Yes","Yes","Someversions"
"WPSOffice","Yes","Yes","Withadd-in","Exportinallversions.Importwithsubscriptiononly."
"ZohoOfficeSuite","Yes","Yes","Yes","Yes"
"Name","MicrosoftOffice(.doc,.xls)","OfficeOpenXML","OpenDocument","PortableDocumentFormat"
