"C++","Java"
"classFoo{//DeclaresclassFoointx=0;//PrivateMembervariable.Itwill//beinitializedto0,ifthe//constructorwouldnotsetit.//(fromC++11)public:Foo():x(0)//ConstructorforFoo;initializes{}//xto0.Iftheinitializerwere//omitted,thevariablewould//beinitializedtothevaluethat//hasbeengivenatdeclarationofx.intbar(inti){//Memberfunctionbar()return3*i+x;}};","classFoo{//DefinesclassFooprivateintx;//Membervariable,normallydeclared//asprivatetoenforceencapsulation//initializedto0bydefaultpublicFoo(){//ConstructorforFoo}//no-argconstructorsuppliedbydefaultpublicintbar(inti){//Membermethodbar()return3*i+x;}}"
"Fooa;//declaresatobeaFooobjectvalue,//initializedusingthedefaultconstructor.//AnotherconstructorcanbeusedasFooa(args);//or(C++11):Fooa{args};","Fooa=newFoo();//declaresatobeareferencetoanewFooobject//initializedusingthedefaultconstructor//AnotherconstructorcanbeusedasFooa=newFoo(args);"
"Foob=a;//copiesthecontentsofatoanewFooobjectb;//alternativesyntaxis""Foob(a)""","//Foob=a;//woulddeclarebtobereferencetotheobjectpointedtobyaFoob=a.clone();//copiesthecontentsoftheobjectpointedtobya//toanewFooobject;//setsthereferencebtopointtothisnewobject;//theFooclassmustimplementtheCloneableinterface//forthiscodetocompile"
"a.x=5;//modifiestheobjecta","a.x=5;//modifiestheobjectreferencedbya"
"std::cout<<b.x<<std::endl;//outputs0,becausebis//someobjectotherthana","System.out.println(b.x);//outputs0,becausebpointsto//someobjectotherthana"
"Foo*c;//declaresctobeapointertoa//Fooobject(initially//undefined;couldpointanywhere)","Fooc;//declaresctobeareferencetoaFoo//object(initiallynullifcisaclassmember;//itisnecessarytoinitializecbeforeuse//ifitisalocalvariable)"
"c=newFoo;//cissettothevalueoftheaddressoftheFooobjectcreatedbyoperatornew","c=newFoo();//bindsctoreferenceanewFooobject"
"Foo&d=*c;//bindsdtoreferencethesameobjecttowhichcpoints","Food=c;//bindsdtoreferencethesameobjectasc"
"c->x=5;//modifiestheobjectpointedtobyc","c.x=5;//modifiestheobjectreferencedbyc"
"d.bar(5);//invokesFoo::bar()forac->bar(5);//invokesFoo::bar()for*c","d.bar(5);//invokesFoo.bar()forac.bar(5);//invokesFoo.bar()forc"
"std::cout<<d.x<<std::endl;//outputs5,becausedreferencesthe//sameobjecttowhichcpoints","System.out.println(d.x);//outputs5,becausedreferencesthe//sameobjectasc"
