"Card","Varieties","Maxstoragecapacity(nom.inGiB)","Theoreticalmax.capacity(nom.inGiB)","Maxreadspeed(MB/s)","Maxwritespeed(MB/s)","Read-writecycles","Low-levelaccess","Operatingvoltage(V)","Controllerchip","#ofpins"
"CompactFlash","I","512","128PiB(134,217,728GiB)","167","167","","NOR/NAND","3.3and5","Yes","50"
"CompactFlash","II","12","128PiB(134,217,728GiB)","167","167","","NOR/NAND","3.3and5","Yes","50"
"SmartMedia","","128MiB(0.125GiB)","","2","","1,000,000","NAND","3.3or5","No","22"
"MMC","MMC","8","128","2","2","1,000,000","NAND","3.3","Yes","7"
"MMC","RS-MMC","2","128","2","2","1,000,000","3.3","Yes","7","NAND"
"MMC","MMCmobile","2","128","15","8","1,000,000","1.8and3.3","Yes","13","NAND"
"MMC","MMCplus","4","128","52","52","1,000,000","3.3","Yes","13","NAND"
"MMC","MMCmicro","2","128","","","1,000,000","1.8and3.3","Yes","10","NAND"
"MMC","eMMC","","2TiB(2048GiB)","104","104","","1.8and3.3","NAND","Yes","Varies"
"SecureDigital","SD(SDSC)","512","4","25","25","","NAND","3.3","Yes","9"
"SecureDigital","miniSD","8","4","25","25","","3.3","Yes","11","NAND"
"SecureDigital","microSD","4","4","25","25","","3.3","Yes","8","NAND"
"SecureDigital","SDHC","32","32","104(UHS-I)","104(UHS-I)","","1.8and3.3","NAND","Yes","9"
"SecureDigital","miniSDHC","32","4","104(UHS-I)","104(UHS-I)","1.8and3.3","Yes","","11","NAND"
"SecureDigital","microSDHC","32","32","104(UHS-I)","104(UHS-I)","1.8and3.3","Yes","","8","NAND"
"SecureDigital","SDXC","512","2TiB(2048GiB)","104(UHS-I)","104","","2.7–3.6","NAND","Yes","9"
"SecureDigital","microSDXC","2TiB(2048GiB)","1TiB","104(UHS-I)","104(UHS-I)","2.7–3.6","Yes","","8","NAND"
"MemoryStick","Standard","128MiB(0.125GiB)","128MiB(0.125GiB)","2.5","1.8","","NAND","3.3","Yes","10"
"MemoryStick","PRO","4","2TiB(2048GiB)","20","20","","3.3","Yes","10","NAND"
"MemoryStick","PRODuo","2TiB(2048GiB)","32","20","20","","3.3","NAND","Yes","10"
"MemoryStick","PRO-HGDuo","2TiB(2048GiB)","32","30(actual;theoretical:60)","30(actual;theoretical:60)","","3.3","NAND","Yes","10"
"MemoryStick","Micro(M2)","16","32","20","20","","1.8and3.3","Yes","10","NAND"
"MemoryStick","xC","","2TiB(2048GiB)","60","60","","3.3","Yes","10","NAND"
"xD","","512MiB(0.5GiB)","512MiB(0.5GiB)","5","3","","NAND","3.3","No","18"
"xD","TypeM","2","8","4","2.5","","3.3","No","18","NAND"
"xD","TypeH","2","8","5","4","","3.3","No","18","NAND"
"xD","TypeM+","2","8","6","3.75","","3.3","No","18","NAND"
"XQD","","64","2+TiB(2+GiB)","168","168","","NAND","5","",""
"USB","Fullspeed(USB1)","2048(2TiB)","Nohardwarelimit","1","1","","NAND","5","Yes","4"
"USB","Highspeed(USB2.0)","2048(2TiB)","Nohardwarelimit","40","40","","5","Yes","4","NAND"
"USB","Superspeed(USB3.0)","2048(2TiB)","Nohardwarelimit","240","160","","5","Yes","4","NAND"
