"Sing","Danish","Bokmål","Nynorsk","Swedish"
"infinitive","synge","synge","syngje/syngja","sjunga"
"present","synger","synger","syng","sjunger"
"past","sang","sang","song","sjöng"
"perfect/pluperfect","har/havdesunget","har/haddesunget","har/haddesunge/sungi","har/hadesjungit"
"pastparticiple(passive)","sungensungetsungne","sungetsungne","sungensunge/sungisungne","sjungensjungetsjungna"
"presentparticiple","syngende","syngende","syngande","sjungande"
"imperative","syng","syng","syng","sjung"
