"Name","Operatingsystems","License","Protocols","Encryption","Notablefeatures","Targetmarkets","Latestrelease"
"3CXPhoneSystem","Windows,Linux","Proprietary","SIP","TLS,SRTP","VoIP/VideoOverIPcallsandconferencing,voicemailandinstantmessaging","<50,000users","18.2;December8,2021;3monthsago(2021-12-08)"
"AvayaAura®AS5300","Linux,WindowsServer2016andServer2019","Proprietary","SIP,UNIStim,MLPP","SSL,TLS,SRTP,SDESC","VoIP/VideoOverIPcallsandconferencing,voicemailandinstantmessaging","1,000-25,000users","15.5.1;October25,2021;4monthsago(2021-10-25)"
"AskoziaPBX","Standaloneprogram(Linux-based)","Proprietary","SIP,H.323,IAX,SCCP","No","ISDN,voicemail,conferencing,MOH,ACD,IVR,callforwarding,callrecording","SMEsupto50users","5.4;September2,2017;4yearsago(2017-09-02)"
"AsteriskPBX","Linux,BSD,macOS,Solaris","GPL-2.0+,optional:Proprietary","SIP,H.323,IAX,MGCP,VoFR,XMPP,GoogleTalk,TDM","TLS,SRTP","VoIPgateway,voicemail,basicaccounting(expandablewithODBC-compliantdatabase),billing,conferencing,hotdesking,IVRtreeswithconditionallogic,callwaiting,automatedcalldistribution","Enthusiasts,developers,enterpriseusers(capacitydependentonserverdesign,scalableacrossmultipleservers)","18.6.0(12August2021;7monthsago(2021-08-12))17.9.4(22July2021;7monthsago(2021-07-22))16.20.0(12August2021;7monthsago(2021-08-12))13.38.3(22July2021;7monthsago(2021-07-22))"
"BrekekeSIPServer","Linux,WindowsServer2016andServer2019","Proprietary","SIP","TLS,SRTP","SIPRegistrar/Proxy","SIPServiceProviders,VoIPserviceproviders,Healthcare,Security","3.12.2.2;January11,2022;60daysago(2022-01-11)"
"BrekekePBX","Linux,WindowsServer2016andServer2019","Proprietary","SIP","TLS,SRTP","VoIP/VideoOverIPcallsandconferencing,voicemail","Hostedserviceproviders,Mid-largeenterprise","3.12.2.2;January11,2022;60daysago(2022-01-11)"
"CallMaxSoftswitch","Linux","Proprietary","SIP,H.323","SSL,TLS,HTTPS","Integratedbilling,IPPBX,callingcard,callshop,webportal,retailSMS","SIPServiceProviders,Residential&BusinessVoIPproviders,Class5softswitchusers","3.6;October1,2015;6yearsago(2015-10-01)"
"CommuniGatePro","Linux,BSD,macOS,Windows,Solaris,HP-UX,AIX","Proprietary","SIP,XIMSS,XMPP,WebRTC","SSL,TLS,SRTP","SIPRegistrar/Proxy,Authentication,Diameter,RADIUS,ENUM","Mobilenetworkoperators,ISPs,SaaSproviders","6.2.14;August16,2019;2yearsago(2019-08-16)"
"DialGateVoIPSoftswitch","Linux,Windows","Proprietary","SIP","TLS,SRTP","Billingserver,real-timeaccountandlinemonitoring,webportal","Softswitchusers,serviceproviders","4.3;June1,2014;7yearsago(2014-06-01)"
"Dial-OfficeIP-PBX","Linux,Windows","Proprietary","SIP","TLS,SRTP","Unifiedcommunications,conferencecalls,remoteworkersupportandvoicemail","Smallbusinesses,Mid-largeenterprises","4.1;December2013;8yearsago(2013-12)"
"Elastix","Linux","Proprietary","SIP,IAX,H.323,XMPP","TLS,SRTP","Unifiedcommunicationserverthatalsosupportschat,mailandfax.","Capacitydependentonserverdesign,scalableacrossmultipleservers","5.0.0;December7,2016;5yearsago(2016-12-07)"
"FreeSWITCH","Linux,BSD,macOS,Solaris,Windows","MozillaPublicLicense","SIP,NAT-PMP,STUN,SIMPLE,XMPP,GoogleTalk(Jingle),IAX,H.323,MRCP,RSS,Skype","TLS,SRTP,ZRTP","Recording,Voicemail,Conferencing,RADIUS,ENUM,IMProxy,Streaming,Mediagateway,Soft-PBX,IVR(modular)","Largesoft-switchusers,homePBXusers,softphoneusers","1.10.6(March25,2021;11monthsago(2021-03-25))[±]"
"FreePBX","Linux,BSD,Solaris","GPL","SIP,IAX,H.323,XMPP","TLS,SRTP","CompletePABXService,basedonAsteriskandPHP5.6;providesafullreplacementforalegacynon-VoIPphonesystem;undercurrentandactivedevelopment","ScalesfromRaspberryPI(3users)tomultipleparallelclusters(10K+simultaneouscalls)","14.0;August2017;4yearsago(2017-08)"
