"Filemanager","Filename","Filecontents","Basicmetadatasearch","Allmetadatasearch","RegExpforcontents","Boolean(nestinglevels)","Fuzzylogic","Savesearches","Refinedsearches"
"AltapSalamander","Yes","?","Yes","?","Yes","Yes","?","Yes","Yes"
"CommanderOne","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No"
"DirectoryOpus","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dired","Yes","?","No","No","Yes","Yes","Yes","No","No"
"Dolphin","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes"
"DoubleCommander","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?"
"emelFM2","Yes","?","Yes","Yes","?","?","?","Partial","?"
"FARManager","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FileCommander","Yes","No","Yes","No","No","Yes","No","Yes","No"
"Files(Apple)","","","","","","","","",""
"FilesbyGoogle","","","","","","","","",""
"Finder","Yes","?","Yes","Yes","No","?","?","Yes","?"
"ForkLift","Yes","Partial","Yes","Yes","Yes","Yes","?","No","No"
"Konqueror","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Krusader","Yes","?","Yes","Yes","Yes","No","No","Yes","Yes"
"GNOMEFiles(Nautilus)","Yes","?","Partial","Partial","?","?","?","Yes","?"
"Nemo","Yes","?","?","?","?","?","?","?","?"
"Nomad.NET","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"PathFinder","Yes","?","Yes","Yes","No","No","?","No","No"
"PCManFM","Yes","?","Yes","No","Yes","No","No","No","No"
"ROX-Filer","Yes","?","Yes","Yes","Yes","Yes","?","No","?"
"TotalCommander","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Partial"
"WindowsExplorer","Yes","No","Yes","No","No","?","?","Yes","Yes"
"XandrosFileManager","?","?","?","?","?","?","?","?","?"
"Xfe","Yes","Yes","Yes","No","No","No","No","No","No"
"Xfile","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes"
"Xfm","?","?","?","?","?","?","?","?","?"
"xplorer²","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"XYplorer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZTreeWin","Yes","Yes","Yes","Partial","Partial","Yes","Yes","Yes","Yes"
"Filemanager","Filename","Filecontents","Basicmetadatasearch","Allmetadatasearch","RegExpforcontents","Boolean(nestinglevels)","Fuzzylogic","Savesearches","Refinedsearches"
